wse_jam,discharge,slope,flow_area_interstitial,flow_area_extent,wood_sub_area,wp_channel,wp_wood,wp_total,hydraulic_radius_channel,hydraulic_radius_total,hydraulic_mean_depth,porosity,blockage_ratio,velocity_interstitial,velocity_extent,reynolds_veg,coef_drag_veg,coef_drag_liu,F_drag_adjusted,F_drag_standard,F_drag_veg,mannings_n_adjusted,mannings_n_standard,petryk_n3,petryks_n,sharpes_n,conveyance_ratio,darcy_f_adjusted,darcy_f_standard,drag_coefficient
999.29,0,0.015132072244108898,2.0996983718394022e-05,2.099698371839402e-05,0.0,0.038363870610654216,0.0,0.038363870610654216,0.0005473113996105191,0.0005473113996105191,0.0005499999999756257,1.0000000000000002,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.3,0,0.015132072244108898,0.002138048234831162,0.002138048234831162,0.0,0.3871263307226558,0.0,0.3871263307226558,0.005522869578103944,0.005522869578103944,0.005549999999971078,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.31,0,0.015132072244108898,0.007184574112428847,0.0071845741124288475,0.0,0.605003669649615,0.0,0.605003669649615,0.011875257081646724,0.011875257081646724,0.011948913486570439,0.9999999999999999,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.32,0,0.015132072244108898,0.014130399457762543,0.014130399457762545,0.0,0.7890971125739319,0.0,0.7890971125739319,0.017907047475653564,0.017907047475653564,0.018035240014770727,0.9999999999999999,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.33,0,0.015132072244108898,0.0227961804234517,0.022796180423451697,0.0,0.9557634650955289,0.0,0.9557634650955289,0.023851278329804344,0.023851278329804344,0.024044319923377404,1.0000000000000002,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.34,0,0.015132072244108898,0.03307986081635946,0.03307986081635946,0.0,1.1186186788572563,0.0,1.1186186788572563,0.029572061902410525,0.029572061902410525,0.02983807265378901,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.35,0,0.015132072244108898,0.04491376448394836,0.04491376448394836,0.0,1.2697477242280426,0.0,1.2697477242280426,0.03537219530064855,0.03537219530064855,0.0357183931240411,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.36,0,0.015132072244108898,0.0582284590866982,0.0582284590866982,0.0,1.4201415475637074,0.0,1.4201415475637074,0.041001869980207786,0.041001869980207786,0.04142905482412745,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.37,0,0.015132072244108898,0.07685540178116894,0.07685540178116894,0.0,1.7975347265838466,0.0,1.7975347265838466,0.042756003900536604,0.042756003900536604,0.04320796238013895,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.38,0,0.015132072244108898,0.09491653583770754,0.09491653583770757,0.0,1.8558591257037573,0.0,1.8558591257037573,0.051144256869019834,0.051144256869019834,0.05176810697807835,0.9999999999999997,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.39,0,0.015132072244108898,0.11352529039726787,0.11352529039726786,0.0,1.9141835248236676,0.0,1.9141835248236676,0.05930742215939075,0.05930742215939075,0.060121753338615955,1.0000000000000002,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.4,0,0.015132072244108898,0.1326816654598498,0.1326816654598498,0.0,1.9725079239435779,0.0,1.9725079239435779,0.06726546638889196,0.06726546638889196,0.06828636130582592,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.41,0,0.015132072244108898,0.15238566102545334,0.15238566102545337,0.0,2.0308323230634864,0.0,2.0308323230634864,0.07503606245324153,0.07503606245324153,0.07627747632563851,0.9999999999999998,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.42,0,0.015132072244108898,0.17264563662620375,0.17264563662620377,0.0,2.092478477713601,0.0,2.092478477713601,0.08250772395750007,0.08250772395750007,0.08397115091389074,0.9999999999999999,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.43,0,0.015132072244108898,0.193515542268174,0.193515542268174,0.0,2.1576944858173395,0.0,2.1576944858173395,0.08968625703970777,0.08968625703970777,0.09136841388226065,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.44,0,0.015132072244108898,0.2150050328434783,0.2150050328434783,0.0,2.2229104939218187,0.0,2.2229104939218187,0.09672230772735746,0.09672230772735746,0.09862940557857777,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.45,0,0.015132072244108898,0.23711410835162794,0.23711410835162797,0.0,2.2881265020255555,0.0,2.2881265020255555,0.10362805908752142,0.10362805908752142,0.10576542429308892,0.9999999999999999,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.46,0,0.015132072244108898,0.2598427687928638,0.2598427687928638,0.0,2.353342510129294,0.0,2.353342510129294,0.11041434371513897,0.11041434371513897,0.11278655291340829,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.47,0,0.015132072244108898,0.28319101416718573,0.28319101416718573,0.0,2.418558518233029,0.0,2.418558518233029,0.1170908258089541,0.1170908258089541,0.11970181807629264,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.48,0,0.015132072244108898,0.3071588444745941,0.3071588444745941,0.0,2.4837745263367683,0.0,2.4837745263367683,0.12366615456339825,0.12366615456339825,0.12651932494967386,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.49,0,0.015132072244108898,0.3318564112215429,0.33185641122154286,0.0,2.5963307442857566,0.0,2.5963307442857566,0.12781746391592175,0.12781746391592175,0.1307803959569796,1.0000000000000002,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.5,0,0.015132072244108898,0.35805960092654954,0.35805960092654954,0.0,2.7642370123583646,0.0,2.7642370123583646,0.12953288713150676,0.12953288713150676,0.13246115443772066,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.51,0,0.015132072244108898,0.3860076658585233,0.38600766585852325,0.0,2.96755294712849,0.0,2.96755294712849,0.13007608380906502,0.13007608380906502,0.132912752963414,1.0000000000000002,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.52,0,0.015132072244108898,0.4162326420694271,0.4162326420694271,0.0,3.206278548596136,0.0,3.206278548596136,0.1298179917186777,0.1298179917186777,0.1325253802107618,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.53,0,0.015132072244108898,0.44873322602705223,0.4487332260270522,0.0,3.4194911015209826,0.0,3.4194911015209826,0.1312280724542481,0.1312280724542481,0.133893886156712,1.0000000000000002,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.54,0,0.015132072244108898,0.4832394599286562,0.48323945992865625,0.0,3.6205389897106546,0.0,3.6205389897106546,0.13347169062451544,0.13347169062451544,0.1361300266658807,0.9999999999999999,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.55,0,0.015132072244108898,0.5197295409866919,0.5197295409866919,0.0,3.8209692435329563,0.0,3.8209692435329563,0.13602034140063843,0.13602034140063843,0.13868157011613697,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.56,0,0.015132072244108898,0.5581760550329881,0.5581760550329881,0.0,4.017605457669948,0.0,4.017605457669948,0.13893252110343063,0.13893252110343063,0.14160952965240245,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.57,0,0.015132072244108898,0.5985626613855689,0.5985626613855688,0.0,4.214241671809175,0.0,4.214241671809175,0.14203330231144665,0.14203330231144665,0.14473189320922,1.0000000000000002,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.58,0,0.015132072244108898,0.6410425481310232,0.6410425481310231,0.0,4.442747822751063,0.0,4.442747822751063,0.14428965444499917,0.14428965444499917,0.14697455382029853,1.0000000000000002,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
