Station,Z
0.159776,1000.505626
0.570111,1000.502426
1.46,1000.4965
3.234,1000.4653
6.9468,1000.4677
8.759,1000.6287
9.3156,1000.6407
9.7678,1000.6197
10.153868,1000.5997
10.946,1000.498
11.20388,1000.3488
11.271,1000.229
11.4744,999.969226
11.916,999.541726
12.045,999.4175
12.76776,999.3758
13.74,999.3527
14.51,999.4714
15.505,999.547
16.789,999.6338
17.69129,999.566
18.604,999.635
18.83037,999.7988
18.94295,999.830126
20.039,999.902626
21.5955,1000.1668
22.6236,1000.341226
23.22854,1000.442626
24.01677,1000.461426
25.6412,1000.437726
27.006899,1000.417926
27.865588,1000.405326
28.520322,1000.3719
30.26438,1000.2695
32.37156,1000.2503
33.4509,1000.3469
36.6368,1000.758126
