Station,Z
15.2966,1001.758226
15.05579,1001.6328
14.91135,1001.4988
14.75663,1001.353
14.7018,1001.24
14.68955,1000.9836
14.65458,1000.821
14.657,1000.6463
14.667,1000.5559
14.6626,1000.2536
14.72356,1000.157326
15.0497,1000.0449
15.3115,999.974126
15.4842,999.9488
15.7412,1000.049326
15.981,1000.1006
16.108,1000.195626
16.21057,1000.3147
16.4623,1000.5708
16.5028,1000.7707
16.48,1000.9945
16.492,1001.1459
16.411,1001.2873
16.3006,1001.4248
16.1807,1001.515526
16.058447,1001.6369
16.108,1001.7386
