Serial_number:,,,,,,
2060682,,,,,,
Project ID:,,,,,,
,,,,,,
Location:,,,,,,
LL 7 XS 19 Site #3,,,,,,
LEVEL,,,,,,
UNIT: m,,,,,,
Offset: 0.000000 m,,,,,,
TEMPERATURE,,,,,,
UNIT: °C,,,,,,
Date,Time,ms,LEVEL,TEMPERATURE,FILE,
8/11/2021,12:10:00 PM,0,-0.058,24.718,Compensated,
8/11/2021,12:20:00 PM,0,-0.055,23.308,Compensated,
8/11/2021,12:30:00 PM,0,-0.0536,22.687,Compensated,
8/11/2021,12:40:00 PM,0,-0.0545,22.349,Compensated,
8/11/2021,12:50:00 PM,0,-0.0547,22.149,Compensated,
8/11/2021,1:00:00 PM,0,-0.0533,22.015,Compensated,
8/11/2021,1:10:00 PM,0,-0.0543,21.936,Compensated,
8/11/2021,1:20:00 PM,0,-0.0535,21.914,Compensated,
8/11/2021,1:30:00 PM,0,-0.054,21.88,Compensated,
8/11/2021,1:40:00 PM,0,-0.0536,21.848,Compensated,
8/11/2021,1:50:00 PM,0,-0.0543,21.803,Compensated,
8/11/2021,2:00:00 PM,0,-0.0543,21.75,Compensated,
8/11/2021,2:10:00 PM,0,-0.0531,21.707,Compensated,
8/11/2021,2:20:00 PM,0,-0.0547,21.654,Compensated,
8/11/2021,2:30:00 PM,0,-0.0537,21.573,Compensated,
8/11/2021,2:40:00 PM,0,-0.0533,21.495,Compensated,
8/11/2021,2:50:00 PM,0,-0.0538,21.424,Compensated,
8/11/2021,3:00:00 PM,0,-0.0537,21.388,Compensated,
8/11/2021,3:10:00 PM,0,-0.053,21.361,Compensated,
8/11/2021,3:20:00 PM,0,-0.0531,21.326,Compensated,
8/11/2021,3:30:00 PM,0,-0.0529,21.273,Compensated,
8/11/2021,3:40:00 PM,0,-0.0522,21.207,Compensated,
8/11/2021,3:50:00 PM,0,-0.0515,21.138,Compensated,
8/11/2021,4:00:00 PM,0,-0.0511,21.063,Compensated,
8/11/2021,4:10:00 PM,0,-0.051,20.983,Compensated,
8/11/2021,4:20:00 PM,0,-0.0507,20.904,Compensated,
8/11/2021,4:30:00 PM,0,-0.0507,20.82,Compensated,
8/11/2021,4:40:00 PM,0,-0.0502,20.725,Compensated,
8/11/2021,4:50:00 PM,0,-0.0493,20.629,Compensated,
8/11/2021,5:00:00 PM,0,-0.0488,20.524,Compensated,
8/11/2021,5:10:00 PM,0,-0.0491,20.405,Compensated,
8/11/2021,5:20:00 PM,0,-0.0484,20.277,Compensated,
8/11/2021,5:30:00 PM,0,-0.0488,20.148,Compensated,
8/11/2021,5:40:00 PM,0,-0.0482,20.016,Compensated,
8/11/2021,5:50:00 PM,0,-0.0483,19.878,Compensated,
