Serial_number:,,,,
2033710,,,,
Project ID:,,,,
,,,,
Location:,,,,
LL 3 XS 7 Site #3,,,,
Level,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
Temperature,,,,
UNIT: °C,,,,
Date,Time,ms,Level,Temperature
8/11/2021,12:10:00 PM,0,-0.0713,22.659
8/11/2021,12:20:00 PM,0,-0.0592,19.822
8/11/2021,12:30:00 PM,0,-0.0592,18.797
8/11/2021,12:40:00 PM,0,-0.0606,18.337
8/11/2021,12:50:00 PM,0,-0.0607,18.12
8/11/2021,1:00:00 PM,0,-0.0598,18.013
8/11/2021,1:10:00 PM,0,-0.0607,17.98
8/11/2021,1:20:00 PM,0,-0.06,18.006
8/11/2021,1:30:00 PM,0,-0.0606,18.032
8/11/2021,1:40:00 PM,0,-0.0599,18.101
8/11/2021,1:50:00 PM,0,-0.0609,18.168
8/11/2021,2:00:00 PM,0,-0.0615,18.257
8/11/2021,2:10:00 PM,0,-0.0602,18.358
8/11/2021,2:20:00 PM,0,-0.0617,18.409
8/11/2021,2:30:00 PM,0,-0.0608,18.448
8/11/2021,2:40:00 PM,0,-0.0613,18.491
8/11/2021,2:50:00 PM,0,-0.0614,18.517
8/11/2021,3:00:00 PM,0,-0.0613,18.52
8/11/2021,3:10:00 PM,0,-0.0604,18.517
8/11/2021,3:20:00 PM,0,-0.0606,18.49
8/11/2021,3:30:00 PM,0,-0.0605,18.447
8/11/2021,3:40:00 PM,0,-0.06,18.409
8/11/2021,3:50:00 PM,0,-0.0596,18.399
8/11/2021,4:00:00 PM,0,-0.0591,18.368
8/11/2021,4:10:00 PM,0,-0.0589,18.351
8/11/2021,4:20:00 PM,0,-0.0587,18.288
8/11/2021,4:30:00 PM,0,-0.0589,18.31
8/11/2021,4:40:00 PM,0,-0.0588,18.256
8/11/2021,4:50:00 PM,0,-0.058,18.255
8/11/2021,5:00:00 PM,0,-0.0577,18.26
8/11/2021,5:10:00 PM,0,-0.0579,18.247
8/11/2021,5:20:00 PM,0,-0.0579,18.301
8/11/2021,5:30:00 PM,0,-0.0582,18.233
8/11/2021,5:40:00 PM,0,-0.0577,18.193
8/11/2021,5:50:00 PM,0,-0.0581,18.107
8/11/2021,6:00:00 PM,0,-0.0574,17.978
8/11/2021,6:10:00 PM,0,-0.0569,17.852
8/11/2021,6:20:00 PM,0,-0.0575,17.753
8/11/2021,6:30:00 PM,0,-0.0565,17.646
8/11/2021,6:40:00 PM,0,-0.0568,17.567
8/11/2021,6:50:00 PM,0,-0.0572,17.492
8/11/2021,7:00:00 PM,0,-0.0564,17.426
8/11/2021,7:10:00 PM,0,-0.0562,17.341
8/11/2021,7:20:00 PM,0,-0.0564,17.258
8/11/2021,7:30:00 PM,0,-0.0562,17.174
8/11/2021,7:40:00 PM,0,-0.056,17.115
8/11/2021,7:50:00 PM,0,-0.0559,17.049
8/11/2021,8:00:00 PM,0,-0.0564,17.003
8/11/2021,8:10:00 PM,0,-0.0558,16.946
8/11/2021,8:20:00 PM,0,-0.0557,16.875
8/11/2021,8:30:00 PM,0,-0.0565,16.813
8/11/2021,8:40:00 PM,0,-0.0563,16.743
8/11/2021,8:50:00 PM,0,-0.0561,16.675
8/11/2021,9:00:00 PM,0,-0.0561,16.612
8/11/2021,9:10:00 PM,0,-0.0559,16.549
8/11/2021,9:20:00 PM,0,-0.0561,16.488
8/11/2021,9:30:00 PM,0,-0.0563,16.432
8/11/2021,9:40:00 PM,0,-0.056,16.379
8/11/2021,9:50:00 PM,0,-0.0559,16.323
8/11/2021,10:00:00 PM,0,-0.056,16.265
8/11/2021,10:10:00 PM,0,-0.0563,16.207
8/11/2021,10:20:00 PM,0,-0.0565,16.149
8/11/2021,10:30:00 PM,0,-0.0562,16.087
8/11/2021,10:40:00 PM,0,-0.0565,16.034
8/11/2021,10:50:00 PM,0,-0.0563,15.979
8/11/2021,11:00:00 PM,0,-0.0564,15.927
8/11/2021,11:10:00 PM,0,-0.0567,15.87
8/11/2021,11:20:00 PM,0,-0.0564,15.827
8/11/2021,11:30:00 PM,0,-0.0561,15.767
8/11/2021,11:40:00 PM,0,-0.0566,15.704
8/11/2021,11:50:00 PM,0,-0.0564,15.624
8/12/2021,12:00:00 AM,0,-0.0571,15.544
8/12/2021,12:10:00 AM,0,-0.0563,15.448
8/12/2021,12:20:00 AM,0,-0.056,15.35
8/12/2021,12:30:00 AM,0,-0.0567,15.233
8/12/2021,12:40:00 AM,0,-0.0562,15.171
8/12/2021,12:50:00 AM,0,-0.0562,15.102
8/12/2021,1:00:00 AM,0,-0.0561,15.022
8/12/2021,1:10:00 AM,0,-0.0558,14.969
8/12/2021,1:20:00 AM,0,-0.0566,14.897
8/12/2021,1:30:00 AM,0,-0.0563,14.829
8/12/2021,1:40:00 AM,0,-0.0562,14.788
8/12/2021,1:50:00 AM,0,-0.0564,14.739
8/12/2021,2:00:00 AM,0,-0.0564,14.68
8/12/2021,2:10:00 AM,0,-0.0566,14.622
8/12/2021,2:20:00 AM,0,-0.0566,14.576
8/12/2021,2:30:00 AM,0,-0.056,14.523
8/12/2021,2:40:00 AM,0,-0.0562,14.466
8/12/2021,2:50:00 AM,0,-0.0562,14.422
8/12/2021,3:00:00 AM,0,-0.0558,14.365
8/12/2021,3:10:00 AM,0,-0.0562,14.308
8/12/2021,3:20:00 AM,0,-0.0567,14.268
8/12/2021,3:30:00 AM,0,-0.0567,14.216
8/12/2021,3:40:00 AM,0,-0.0563,14.165
8/12/2021,3:50:00 AM,0,-0.0567,14.106
8/12/2021,4:00:00 AM,0,-0.0569,14.067
8/12/2021,4:10:00 AM,0,-0.0562,14.025
8/12/2021,4:20:00 AM,0,-0.0564,13.95
8/12/2021,4:30:00 AM,0,-0.0568,13.918
8/12/2021,4:40:00 AM,0,-0.0562,13.886
8/12/2021,4:50:00 AM,0,-0.0571,13.836
8/12/2021,5:00:00 AM,0,-0.0565,13.79
8/12/2021,5:10:00 AM,0,-0.057,13.723
8/12/2021,5:20:00 AM,0,-0.0563,13.695
8/12/2021,5:30:00 AM,0,-0.0562,13.657
8/12/2021,5:40:00 AM,0,-0.0562,13.621
8/12/2021,5:50:00 AM,0,-0.056,13.598
8/12/2021,6:00:00 AM,0,-0.0558,13.581
8/12/2021,6:10:00 AM,0,-0.0572,13.52
8/12/2021,6:20:00 AM,0,-0.0564,13.519
8/12/2021,6:30:00 AM,0,-0.0559,13.522
8/12/2021,6:40:00 AM,0,-0.0558,13.572
8/12/2021,6:50:00 AM,0,-0.056,13.633
8/12/2021,7:00:00 AM,0,-0.0556,13.694
8/12/2021,7:10:00 AM,0,-0.0553,13.773
8/12/2021,7:20:00 AM,0,-0.0553,13.861
8/12/2021,7:30:00 AM,0,-0.0556,13.943
8/12/2021,7:40:00 AM,0,-0.0554,14.041
8/12/2021,7:50:00 AM,0,-0.055,14.152
8/12/2021,8:00:00 AM,0,-0.0552,14.3
8/12/2021,8:10:00 AM,0,-0.0549,14.455
8/12/2021,8:20:00 AM,0,-0.0549,14.625
8/12/2021,8:30:00 AM,0,-0.055,14.777
8/12/2021,8:40:00 AM,0,-0.0547,14.945
8/12/2021,8:50:00 AM,0,-0.0548,15.061
8/12/2021,9:00:00 AM,0,-0.0543,15.146
8/12/2021,9:10:00 AM,0,-0.0541,15.249
8/12/2021,9:20:00 AM,0,-0.0546,15.334
8/12/2021,9:30:00 AM,0,-0.0543,15.448
8/12/2021,9:40:00 AM,0,-0.0545,15.58
8/12/2021,9:50:00 AM,0,-0.054,15.691
8/12/2021,10:00:00 AM,0,-0.0546,15.81
8/12/2021,10:10:00 AM,0,-0.0545,15.929
8/12/2021,10:20:00 AM,0,-0.0549,16.06
8/12/2021,10:30:00 AM,0,-0.0545,16.19
8/12/2021,10:40:00 AM,0,-0.0548,16.269
8/12/2021,10:50:00 AM,0,-0.0551,16.381
8/12/2021,11:00:00 AM,0,-0.0552,16.513
8/12/2021,11:10:00 AM,0,-0.0553,16.69
8/12/2021,11:20:00 AM,0,-0.0553,16.891
8/12/2021,11:30:00 AM,0,-0.0557,17.015
8/12/2021,11:40:00 AM,0,-0.0563,17.142
8/12/2021,11:50:00 AM,0,-0.0569,17.265
8/12/2021,12:00:00 PM,0,-0.0578,17.384
8/12/2021,12:10:00 PM,0,-0.0579,17.459
8/12/2021,12:20:00 PM,0,-0.0581,17.518
8/12/2021,12:30:00 PM,0,-0.0585,17.662
8/12/2021,12:40:00 PM,0,-0.0588,17.771
8/12/2021,12:50:00 PM,0,-0.06,17.874
8/12/2021,1:00:00 PM,0,-0.0603,17.998
8/12/2021,1:10:00 PM,0,-0.0596,18.109
8/12/2021,1:20:00 PM,0,-0.0598,18.18
8/12/2021,1:30:00 PM,0,-0.0606,18.312
8/12/2021,1:40:00 PM,0,-0.0602,18.43
8/12/2021,1:50:00 PM,0,-0.0615,18.582
8/12/2021,2:00:00 PM,0,-0.0612,18.632
8/12/2021,2:10:00 PM,0,-0.0613,18.691
8/12/2021,2:20:00 PM,0,-0.0609,18.731
8/12/2021,2:30:00 PM,0,-0.0616,18.789
8/12/2021,2:40:00 PM,0,-0.0619,18.823
8/12/2021,2:50:00 PM,0,-0.0616,18.839
8/12/2021,3:00:00 PM,0,-0.0621,18.825
8/12/2021,3:10:00 PM,0,-0.0611,18.778
8/12/2021,3:20:00 PM,0,-0.0612,18.723
8/12/2021,3:30:00 PM,0,-0.0612,18.692
8/12/2021,3:40:00 PM,0,-0.0607,18.604
8/12/2021,3:50:00 PM,0,-0.0604,18.539
8/12/2021,4:00:00 PM,0,-0.06,18.508
8/12/2021,4:10:00 PM,0,-0.061,18.436
8/12/2021,4:20:00 PM,0,-0.0594,18.375
8/12/2021,4:30:00 PM,0,-0.0589,18.3
8/12/2021,4:40:00 PM,0,-0.0586,18.2
8/12/2021,4:50:00 PM,0,-0.0578,18.159
8/12/2021,5:00:00 PM,0,-0.0583,18.109
8/12/2021,5:10:00 PM,0,-0.058,18.022
8/12/2021,5:20:00 PM,0,-0.058,18.04
8/12/2021,5:30:00 PM,0,-0.0583,18.051
8/12/2021,5:40:00 PM,0,-0.0582,18.023
8/12/2021,5:50:00 PM,0,-0.0576,17.916
8/12/2021,6:00:00 PM,0,-0.0576,17.836
8/12/2021,6:10:00 PM,0,-0.0576,17.755
8/12/2021,6:20:00 PM,0,-0.0574,17.651
8/12/2021,6:30:00 PM,0,-0.0574,17.553
8/12/2021,6:40:00 PM,0,-0.057,17.467
8/12/2021,6:50:00 PM,0,-0.0567,17.405
8/12/2021,7:00:00 PM,0,-0.0575,17.322
8/12/2021,7:10:00 PM,0,-0.0566,17.225
8/12/2021,7:20:00 PM,0,-0.0569,17.127
8/12/2021,7:30:00 PM,0,-0.0562,17.019
8/12/2021,7:40:00 PM,0,-0.0563,16.907
8/12/2021,7:50:00 PM,0,-0.0561,16.803
