Serial_number:,,,,
2033710,,,,
Project ID:,,,,
,,,,
Location:,,,,
LL 3 XS 7 Site #3,,,,
Level,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
Temperature,,,,
UNIT: °C,,,,
Date,Time,ms,Level,Temperature
11/19/2021,1:20:00 PM,0,0.0739,9.457
11/19/2021,1:30:00 PM,0,0.0733,9.418
11/19/2021,1:40:00 PM,0,0.0742,9.414
11/19/2021,1:50:00 PM,0,0.0722,9.414
11/19/2021,2:00:00 PM,0,0.0728,9.417
11/19/2021,2:10:00 PM,0,0.0725,9.421
11/19/2021,2:20:00 PM,0,0.0731,9.426
11/19/2021,2:30:00 PM,0,0.071,9.431
11/19/2021,2:40:00 PM,0,0.0733,9.438
11/19/2021,2:50:00 PM,0,0.073,9.442
11/19/2021,3:00:00 PM,0,0.0709,9.446
11/19/2021,3:10:00 PM,0,0.0702,9.447
11/19/2021,3:20:00 PM,0,0.0703,9.446
11/19/2021,3:30:00 PM,0,0.0705,9.44
11/19/2021,3:40:00 PM,0,0.0706,9.431
11/19/2021,3:50:00 PM,0,0.07,9.42
11/19/2021,4:00:00 PM,0,0.0703,9.403
11/19/2021,4:10:00 PM,0,0.0704,9.385
11/19/2021,4:20:00 PM,0,0.0705,9.367
11/19/2021,4:30:00 PM,0,0.0684,9.345
11/19/2021,4:40:00 PM,0,0.069,9.321
11/19/2021,4:50:00 PM,0,0.0685,9.294
11/19/2021,5:00:00 PM,0,0.0675,9.265
11/19/2021,5:10:00 PM,0,0.068,9.234
11/19/2021,5:20:00 PM,0,0.0674,9.2
11/19/2021,5:30:00 PM,0,0.0663,9.162
11/19/2021,5:40:00 PM,0,0.0664,9.125
11/19/2021,5:50:00 PM,0,0.066,9.087
11/19/2021,6:00:00 PM,0,0.066,9.046
11/19/2021,6:10:00 PM,0,0.0653,9.004
11/19/2021,6:20:00 PM,0,0.0653,8.964
11/19/2021,6:30:00 PM,0,0.0648,8.918
11/19/2021,6:40:00 PM,0,0.0651,8.872
11/19/2021,6:50:00 PM,0,0.0646,8.827
11/19/2021,7:00:00 PM,0,0.0653,8.78
11/19/2021,7:10:00 PM,0,0.0644,8.731
11/19/2021,7:20:00 PM,0,0.0625,8.683
11/19/2021,7:30:00 PM,0,0.0631,8.634
11/19/2021,7:40:00 PM,0,0.0656,8.584
11/19/2021,7:50:00 PM,0,0.0637,8.54
11/19/2021,8:00:00 PM,0,0.0641,8.493
11/19/2021,8:10:00 PM,0,0.0631,8.449
11/19/2021,8:20:00 PM,0,0.0633,8.407
11/19/2021,8:30:00 PM,0,0.063,8.367
11/19/2021,8:40:00 PM,0,0.0635,8.326
11/19/2021,8:50:00 PM,0,0.0634,8.287
11/19/2021,9:00:00 PM,0,0.0633,8.247
11/19/2021,9:10:00 PM,0,0.0623,8.215
11/19/2021,9:20:00 PM,0,0.0631,8.185
11/19/2021,9:30:00 PM,0,0.0611,8.149
11/19/2021,9:40:00 PM,0,0.0629,8.104
11/19/2021,9:50:00 PM,0,0.0618,8.066
11/19/2021,10:00:00 PM,0,0.062,8.032
11/19/2021,10:10:00 PM,0,0.0609,7.999
11/19/2021,10:20:00 PM,0,0.0605,7.966
11/19/2021,10:30:00 PM,0,0.0624,7.934
11/19/2021,10:40:00 PM,0,0.0613,7.903
11/19/2021,10:50:00 PM,0,0.0597,7.873
11/19/2021,11:00:00 PM,0,0.0608,7.844
11/19/2021,11:10:00 PM,0,0.0595,7.814
11/19/2021,11:20:00 PM,0,0.0583,7.79
11/19/2021,11:30:00 PM,0,0.0585,7.759
11/19/2021,11:40:00 PM,0,0.0594,7.733
11/19/2021,11:50:00 PM,0,0.0588,7.705
11/20/2021,12:00:00 AM,0,0.0596,7.68
11/20/2021,12:10:00 AM,0,0.0592,7.657
11/20/2021,12:20:00 AM,0,0.0595,7.633
11/20/2021,12:30:00 AM,0,0.0596,7.606
11/20/2021,12:40:00 AM,0,0.0589,7.584
11/20/2021,12:50:00 AM,0,0.0588,7.561
11/20/2021,1:00:00 AM,0,0.0588,7.54
11/20/2021,1:10:00 AM,0,0.0583,7.521
11/20/2021,1:20:00 AM,0,0.0591,7.499
11/20/2021,1:30:00 AM,0,0.0587,7.479
11/20/2021,1:40:00 AM,0,0.0595,7.458
11/20/2021,1:50:00 AM,0,0.0582,7.436
11/20/2021,2:00:00 AM,0,0.0597,7.414
11/20/2021,2:10:00 AM,0,0.0583,7.394
11/20/2021,2:20:00 AM,0,0.0572,7.372
11/20/2021,2:30:00 AM,0,0.0589,7.352
11/20/2021,2:40:00 AM,0,0.0579,7.339
11/20/2021,2:50:00 AM,0,0.0573,7.328
11/20/2021,3:00:00 AM,0,0.0577,7.319
11/20/2021,3:10:00 AM,0,0.0599,7.314
11/20/2021,3:20:00 AM,0,0.0588,7.31
11/20/2021,3:30:00 AM,0,0.0596,7.306
11/20/2021,3:40:00 AM,0,0.0572,7.3
