Serial_number:,,,,
2033710,,,,
Project ID:,,,,
,,,,
Location:,,,,
LL 3 XS 7 Site #3,,,,
Level,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
Temperature,,,,
UNIT: °C,,,,
Date,Time,ms,Level,Temperature
12/7/2021,11:20:00 AM,0,0.1989,9.073
12/7/2021,11:30:00 AM,0,0.1884,9.097
12/7/2021,11:40:00 AM,0,0.1788,9.119
12/7/2021,11:50:00 AM,0,0.1716,9.142
12/7/2021,12:00:00 PM,0,0.1647,9.165
12/7/2021,12:10:00 PM,0,0.157,9.187
12/7/2021,12:20:00 PM,0,0.1502,9.21
12/7/2021,12:30:00 PM,0,0.1416,9.234
12/7/2021,12:40:00 PM,0,0.134,9.252
12/7/2021,12:50:00 PM,0,0.1261,9.276
12/7/2021,1:00:00 PM,0,0.1186,9.298
12/7/2021,1:10:00 PM,0,0.1116,9.316
12/7/2021,1:20:00 PM,0,0.1043,9.331
12/7/2021,1:30:00 PM,0,0.095,9.348
12/7/2021,1:40:00 PM,0,0.0861,9.362
12/7/2021,1:50:00 PM,0,0.0792,9.375
12/7/2021,2:00:00 PM,0,0.0711,9.387
12/7/2021,2:10:00 PM,0,0.0635,9.398
12/7/2021,2:20:00 PM,0,0.0562,9.407
12/7/2021,2:30:00 PM,0,0.0572,9.416
12/7/2021,2:40:00 PM,0,0.0576,9.421
12/7/2021,2:50:00 PM,0,0.0566,9.426
12/7/2021,3:00:00 PM,0,0.0571,9.43
12/7/2021,3:10:00 PM,0,0.0584,9.431
12/7/2021,3:20:00 PM,0,0.0584,9.434
12/7/2021,3:30:00 PM,0,0.0574,9.436
12/7/2021,3:40:00 PM,0,0.0567,9.436
12/7/2021,3:50:00 PM,0,0.0569,9.436
12/7/2021,4:00:00 PM,0,0.0574,9.435
12/7/2021,4:10:00 PM,0,0.0579,9.432
12/7/2021,4:20:00 PM,0,0.0573,9.429
12/7/2021,4:30:00 PM,0,0.057,9.424
12/7/2021,4:40:00 PM,0,0.0575,9.419
12/7/2021,4:50:00 PM,0,0.0571,9.412
12/7/2021,5:00:00 PM,0,0.0575,9.406
12/7/2021,5:10:00 PM,0,0.0585,9.399
12/7/2021,5:20:00 PM,0,0.0583,9.394
12/7/2021,5:30:00 PM,0,0.0583,9.386
12/7/2021,5:40:00 PM,0,0.0587,9.38
12/7/2021,5:50:00 PM,0,0.0583,9.374
12/7/2021,6:00:00 PM,0,0.0583,9.367
12/7/2021,6:10:00 PM,0,0.0582,9.361
12/7/2021,6:20:00 PM,0,0.0573,9.356
12/7/2021,6:30:00 PM,0,0.0594,9.35
12/7/2021,6:40:00 PM,0,0.0578,9.345
12/7/2021,6:50:00 PM,0,0.0587,9.34
12/7/2021,7:00:00 PM,0,0.0583,9.334
12/7/2021,7:10:00 PM,0,0.0583,9.33
12/7/2021,7:20:00 PM,0,0.0584,9.325
12/7/2021,7:30:00 PM,0,0.0591,9.321
12/7/2021,7:40:00 PM,0,0.058,9.317
12/7/2021,7:50:00 PM,0,0.0579,9.313
12/7/2021,8:00:00 PM,0,0.0584,9.309
12/7/2021,8:10:00 PM,0,0.0577,9.307
12/7/2021,8:20:00 PM,0,0.0584,9.305
12/7/2021,8:30:00 PM,0,0.0587,9.302
12/7/2021,8:40:00 PM,0,0.0602,9.298
12/7/2021,8:50:00 PM,0,0.0591,9.295
12/7/2021,9:00:00 PM,0,0.0589,9.292
12/7/2021,9:10:00 PM,0,0.0581,9.29
12/7/2021,9:20:00 PM,0,0.0581,9.286
12/7/2021,9:30:00 PM,0,0.0593,9.283
12/7/2021,9:40:00 PM,0,0.0578,9.278
12/7/2021,9:50:00 PM,0,0.0581,9.273
12/7/2021,10:00:00 PM,0,0.0578,9.267
12/7/2021,10:10:00 PM,0,0.0588,9.261
12/7/2021,10:20:00 PM,0,0.0579,9.254
12/7/2021,10:30:00 PM,0,0.0581,9.246
12/7/2021,10:40:00 PM,0,0.0578,9.239
12/7/2021,10:50:00 PM,0,0.0575,9.231
12/7/2021,11:00:00 PM,0,0.0573,9.222
12/7/2021,11:10:00 PM,0,0.0573,9.213
12/7/2021,11:20:00 PM,0,0.0578,9.204
12/7/2021,11:30:00 PM,0,0.0581,9.194
12/7/2021,11:40:00 PM,0,0.0591,9.184
12/7/2021,11:50:00 PM,0,0.0589,9.175
12/8/2021,12:00:00 AM,0,0.0586,9.166
12/8/2021,12:10:00 AM,0,0.0586,9.157
12/8/2021,12:20:00 AM,0,0.0583,9.148
12/8/2021,12:30:00 AM,0,0.0593,9.139
12/8/2021,12:40:00 AM,0,0.0588,9.131
12/8/2021,12:50:00 AM,0,0.059,9.122
12/8/2021,1:00:00 AM,0,0.0597,9.115
12/8/2021,1:10:00 AM,0,0.0593,9.107
12/8/2021,1:20:00 AM,0,0.0607,9.1
12/8/2021,1:30:00 AM,0,0.0604,9.093
12/8/2021,1:40:00 AM,0,0.0603,9.084
12/8/2021,1:50:00 AM,0,0.0612,9.075
12/8/2021,2:00:00 AM,0,0.0595,9.066
12/8/2021,2:10:00 AM,0,0.0606,9.055
12/8/2021,2:20:00 AM,0,0.0604,9.045
12/8/2021,2:30:00 AM,0,0.0605,9.034
12/8/2021,2:40:00 AM,0,0.0603,9.023
12/8/2021,2:50:00 AM,0,0.0598,9.012
12/8/2021,3:00:00 AM,0,0.0601,9.002
12/8/2021,3:10:00 AM,0,0.0602,8.988
12/8/2021,3:20:00 AM,0,0.0594,8.975
12/8/2021,3:30:00 AM,0,0.0604,8.959
12/8/2021,3:40:00 AM,0,0.0589,8.944
12/8/2021,3:50:00 AM,0,0.059,8.93
12/8/2021,4:00:00 AM,0,0.0593,8.916
12/8/2021,4:10:00 AM,0,0.0594,8.902
12/8/2021,4:20:00 AM,0,0.059,8.89
12/8/2021,4:30:00 AM,0,0.0598,8.876
12/8/2021,4:40:00 AM,0,0.0599,8.863
12/8/2021,4:50:00 AM,0,0.0601,8.848
12/8/2021,5:00:00 AM,0,0.0594,8.835
