Serial_number:,,,,
2033710,,,,
Project ID:,,,,
,,,,
Location:,,,,
LL 3 XS 7 Site #3,,,,
Level,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
Temperature,,,,
UNIT: °C,,,,
Date,Time,ms,Level,Temperature
3/11/2022,9:00:00 AM,0,0.0684,5.046
3/11/2022,9:10:00 AM,0,0.0689,5.097
3/11/2022,9:20:00 AM,0,0.0672,5.132
3/11/2022,9:30:00 AM,0,0.0653,5.176
3/11/2022,9:40:00 AM,0,0.0663,5.221
3/11/2022,9:50:00 AM,0,0.0647,5.271
3/11/2022,10:00:00 AM,0,0.0627,5.322
3/11/2022,10:10:00 AM,0,0.0608,5.384
3/11/2022,10:20:00 AM,0,0.0588,5.447
3/11/2022,10:30:00 AM,0,0.0564,5.518
3/11/2022,10:40:00 AM,0,0.054,5.592
3/11/2022,10:50:00 AM,0,0.0529,5.673
3/11/2022,11:00:00 AM,0,0.0514,5.759
3/11/2022,11:10:00 AM,0,0.0501,5.849
3/11/2022,11:20:00 AM,0,0.0488,5.934
3/11/2022,11:30:00 AM,0,0.0467,6.013
3/11/2022,11:40:00 AM,0,0.0441,6.097
3/11/2022,11:50:00 AM,0,0.0442,6.177
3/11/2022,12:00:00 PM,0,0.0438,6.26
3/11/2022,12:10:00 PM,0,0.0455,6.349
3/11/2022,12:20:00 PM,0,0.0453,6.451
3/11/2022,12:30:00 PM,0,0.0447,6.572
3/11/2022,12:40:00 PM,0,0.0446,6.683
3/11/2022,12:50:00 PM,0,0.0439,6.804
3/11/2022,1:00:00 PM,0,0.0447,6.906
3/11/2022,1:10:00 PM,0,0.044,6.999
3/11/2022,1:20:00 PM,0,0.0421,7.082
3/11/2022,1:30:00 PM,0,0.044,7.157
3/11/2022,1:40:00 PM,0,0.0451,7.224
3/11/2022,1:50:00 PM,0,0.043,7.28
3/11/2022,2:00:00 PM,0,0.0404,7.339
3/11/2022,2:10:00 PM,0,0.0403,7.414
3/11/2022,2:20:00 PM,0,0.0422,7.495
3/11/2022,2:30:00 PM,0,0.0421,7.578
3/11/2022,2:40:00 PM,0,0.0405,7.655
3/11/2022,2:50:00 PM,0,0.041,7.732
3/11/2022,3:00:00 PM,0,0.0441,7.801
3/11/2022,3:10:00 PM,0,0.0438,7.853
3/11/2022,3:20:00 PM,0,0.0424,7.899
3/11/2022,3:30:00 PM,0,0.0416,7.934
3/11/2022,3:40:00 PM,0,0.0424,7.962
3/11/2022,3:50:00 PM,0,0.0413,7.978
3/11/2022,4:00:00 PM,0,0.0406,7.987
3/11/2022,4:10:00 PM,0,0.0393,7.984
3/11/2022,4:20:00 PM,0,0.0385,7.975
3/11/2022,4:30:00 PM,0,0.0377,7.958
3/11/2022,4:40:00 PM,0,0.0373,7.938
3/11/2022,4:50:00 PM,0,0.0366,7.919
3/11/2022,5:00:00 PM,0,0.0361,7.898
3/11/2022,5:10:00 PM,0,0.036,7.873
3/11/2022,5:20:00 PM,0,0.0354,7.847
3/11/2022,5:30:00 PM,0,0.034,7.818
3/11/2022,5:40:00 PM,0,0.0339,7.785
3/11/2022,5:50:00 PM,0,0.0332,7.753
3/11/2022,6:00:00 PM,0,0.0327,7.717
3/11/2022,6:10:00 PM,0,0.0321,7.677
3/11/2022,6:20:00 PM,0,0.0316,7.635
3/11/2022,6:30:00 PM,0,0.0307,7.591
3/11/2022,6:40:00 PM,0,0.0296,7.545
3/11/2022,6:50:00 PM,0,0.0298,7.495
3/11/2022,7:00:00 PM,0,0.0291,7.447
3/11/2022,7:10:00 PM,0,0.0283,7.394
3/11/2022,7:20:00 PM,0,0.0274,7.345
3/11/2022,7:30:00 PM,0,0.0273,7.292
3/11/2022,7:40:00 PM,0,0.0275,7.238
3/11/2022,7:50:00 PM,0,0.0269,7.181
3/11/2022,8:00:00 PM,0,0.0263,7.125
3/11/2022,8:10:00 PM,0,0.0255,7.072
3/11/2022,8:20:00 PM,0,0.0259,7.016
3/11/2022,8:30:00 PM,0,0.025,6.959
3/11/2022,8:40:00 PM,0,0.0246,6.904
3/11/2022,8:50:00 PM,0,0.0245,6.849
3/11/2022,9:00:00 PM,0,0.0237,6.793
3/11/2022,9:10:00 PM,0,0.024,6.737
3/11/2022,9:20:00 PM,0,0.0229,6.681
3/11/2022,9:30:00 PM,0,0.0223,6.629
3/11/2022,9:40:00 PM,0,0.0217,6.573
3/11/2022,9:50:00 PM,0,0.023,6.521
3/11/2022,10:00:00 PM,0,0.0218,6.469
3/11/2022,10:10:00 PM,0,0.0213,6.416
3/11/2022,10:20:00 PM,0,0.022,6.366
3/11/2022,10:30:00 PM,0,0.0205,6.316
3/11/2022,10:40:00 PM,0,0.0205,6.267
3/11/2022,10:50:00 PM,0,0.0206,6.22
3/11/2022,11:00:00 PM,0,0.02,6.169
3/11/2022,11:10:00 PM,0,0.0196,6.123
3/11/2022,11:20:00 PM,0,0.0195,6.076
3/11/2022,11:30:00 PM,0,0.0194,6.029
3/11/2022,11:40:00 PM,0,0.0194,5.983
3/11/2022,11:50:00 PM,0,0.0189,5.94
3/12/2022,12:00:00 AM,0,0.0182,5.899
3/12/2022,12:10:00 AM,0,0.0192,5.856
3/12/2022,12:20:00 AM,0,0.0184,5.814
3/12/2022,12:30:00 AM,0,0.018,5.775
3/12/2022,12:40:00 AM,0,0.0185,5.734
3/12/2022,12:50:00 AM,0,0.0184,5.695
3/12/2022,1:00:00 AM,0,0.0181,5.658
3/12/2022,1:10:00 AM,0,0.018,5.625
3/12/2022,1:20:00 AM,0,0.0178,5.593
3/12/2022,1:30:00 AM,0,0.0182,5.558
3/12/2022,1:40:00 AM,0,0.0176,5.524
3/12/2022,1:50:00 AM,0,0.018,5.495
3/12/2022,2:00:00 AM,0,0.0181,5.461
3/12/2022,2:10:00 AM,0,0.019,5.433
3/12/2022,2:20:00 AM,0,0.0178,5.406
3/12/2022,2:30:00 AM,0,0.0186,5.379
3/12/2022,2:40:00 AM,0,0.0178,5.349
3/12/2022,2:50:00 AM,0,0.0189,5.32
3/12/2022,3:00:00 AM,0,0.0187,5.29
3/12/2022,3:10:00 AM,0,0.018,5.265
3/12/2022,3:20:00 AM,0,0.0187,5.235
3/12/2022,3:30:00 AM,0,0.0191,5.211
3/12/2022,3:40:00 AM,0,0.0187,5.191
3/12/2022,3:50:00 AM,0,0.0187,5.167
3/12/2022,4:00:00 AM,0,0.0187,5.145
3/12/2022,4:10:00 AM,0,0.0185,5.12
3/12/2022,4:20:00 AM,0,0.0181,5.095
3/12/2022,4:30:00 AM,0,0.0176,5.072
3/12/2022,4:40:00 AM,0,0.0192,5.048
3/12/2022,4:50:00 AM,0,0.0182,5.029
3/12/2022,5:00:00 AM,0,0.0185,5.009
3/12/2022,5:10:00 AM,0,0.0203,4.985
3/12/2022,5:20:00 AM,0,0.0195,4.965
3/12/2022,5:30:00 AM,0,0.0188,4.947
3/12/2022,5:40:00 AM,0,0.0188,4.924
3/12/2022,5:50:00 AM,0,0.0211,4.905
3/12/2022,6:00:00 AM,0,0.0254,4.888
3/12/2022,6:10:00 AM,0,0.0258,4.868
3/12/2022,6:20:00 AM,0,0.0253,4.848
3/12/2022,6:30:00 AM,0,0.0263,4.83
3/12/2022,6:40:00 AM,0,0.0247,4.807
3/12/2022,6:50:00 AM,0,0.0256,4.792
3/12/2022,7:00:00 AM,0,0.0265,4.774
3/12/2022,7:10:00 AM,0,0.0257,4.76
3/12/2022,7:20:00 AM,0,0.0256,4.746
3/12/2022,7:30:00 AM,0,0.0239,4.735
3/12/2022,7:40:00 AM,0,0.0252,4.725
3/12/2022,7:50:00 AM,0,0.0245,4.722
3/12/2022,8:00:00 AM,0,0.0257,4.724
3/12/2022,8:10:00 AM,0,0.0252,4.729
3/12/2022,8:20:00 AM,0,0.0243,4.736
3/12/2022,8:30:00 AM,0,0.0245,4.751
3/12/2022,8:40:00 AM,0,0.0243,4.775
3/12/2022,8:50:00 AM,0,0.0221,4.79
3/12/2022,9:00:00 AM,0,0.0222,4.826
3/12/2022,9:10:00 AM,0,0.0217,4.876
3/12/2022,9:20:00 AM,0,0.025,4.922
3/12/2022,9:30:00 AM,0,0.025,4.975
3/12/2022,9:40:00 AM,0,0.0258,5.033
3/12/2022,9:50:00 AM,0,0.028,5.096
3/12/2022,10:00:00 AM,0,0.029,5.163
3/12/2022,10:10:00 AM,0,0.0304,5.226
3/12/2022,10:20:00 AM,0,0.0317,5.294
3/12/2022,10:30:00 AM,0,0.033,5.362
3/12/2022,10:40:00 AM,0,0.032,5.44
3/12/2022,10:50:00 AM,0,0.035,5.525
3/12/2022,11:00:00 AM,0,0.0348,5.621
3/12/2022,11:10:00 AM,0,0.036,5.722
