Serial_number:,,,,
2038114,,,,
Project ID:,,,,
,,,,
Location:,,,,
LL 5 XS 11 Site #3,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
8/11/2021,12:00:00 PM,0,0.0424,16.31
8/11/2021,12:10:00 PM,0,0.0372,15.408
8/11/2021,12:20:00 PM,0,0.0363,15.26
8/11/2021,12:30:00 PM,0,0.0358,15.164
8/11/2021,12:40:00 PM,0,0.0344,15.102
8/11/2021,12:50:00 PM,0,0.0336,15.061
8/11/2021,1:00:00 PM,0,0.0345,15.037
8/11/2021,1:10:00 PM,0,0.0337,15.038
8/11/2021,1:20:00 PM,0,0.0344,15.041
8/11/2021,1:30:00 PM,0,0.0339,15.063
8/11/2021,1:40:00 PM,0,0.0341,15.084
8/11/2021,1:50:00 PM,0,0.0333,15.107
8/11/2021,2:00:00 PM,0,0.0333,15.144
8/11/2021,2:10:00 PM,0,0.0344,15.178
8/11/2021,2:20:00 PM,0,0.0331,15.226
8/11/2021,2:30:00 PM,0,0.034,15.266
8/11/2021,2:40:00 PM,0,0.0337,15.296
8/11/2021,2:50:00 PM,0,0.0334,15.331
8/11/2021,3:00:00 PM,0,0.0335,15.376
8/11/2021,3:10:00 PM,0,0.0343,15.412
8/11/2021,3:20:00 PM,0,0.0343,15.434
8/11/2021,3:30:00 PM,0,0.0337,15.454
8/11/2021,3:40:00 PM,0,0.0342,15.47
8/11/2021,3:50:00 PM,0,0.0347,15.487
8/11/2021,4:00:00 PM,0,0.0349,15.5
8/11/2021,4:10:00 PM,0,0.0351,15.492
8/11/2021,4:20:00 PM,0,0.0348,15.493
8/11/2021,4:30:00 PM,0,0.0351,15.502
8/11/2021,4:40:00 PM,0,0.0348,15.525
8/11/2021,4:50:00 PM,0,0.0353,15.532
8/11/2021,5:00:00 PM,0,0.0358,15.531
8/11/2021,5:10:00 PM,0,0.0355,15.53
8/11/2021,5:20:00 PM,0,0.0354,15.512
8/11/2021,5:30:00 PM,0,0.0347,15.491
