Serial_number:,,,,
2060682,,,,
Project ID:,,,,
,,,,
Location:,,,,
LL 7 XS 19 Site #3,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
12/7/2021,11:20:00 AM,0,0.1256,8.274
12/7/2021,11:30:00 AM,0,0.1149,8.314
12/7/2021,11:40:00 AM,0,0.1065,8.348
12/7/2021,11:50:00 AM,0,0.1003,8.381
12/7/2021,12:00:00 PM,0,0.0918,8.411
12/7/2021,12:10:00 PM,0,0.0842,8.443
12/7/2021,12:20:00 PM,0,0.0772,8.476
12/7/2021,12:30:00 PM,0,0.07,8.512
12/7/2021,12:40:00 PM,0,0.0613,8.548
12/7/2021,12:50:00 PM,0,0.0536,8.581
12/7/2021,1:00:00 PM,0,0.0461,8.607
12/7/2021,1:10:00 PM,0,0.0388,8.626
12/7/2021,1:20:00 PM,0,0.0318,8.643
12/7/2021,1:30:00 PM,0,0.0228,8.664
12/7/2021,1:40:00 PM,0,0.0141,8.681
12/7/2021,1:50:00 PM,0,0.0059,8.695
12/7/2021,2:00:00 PM,0,-0.0014,8.71
12/7/2021,2:10:00 PM,0,-0.0095,8.722
12/7/2021,2:20:00 PM,0,-0.0161,8.729
12/7/2021,2:30:00 PM,0,-0.0151,8.734
12/7/2021,2:40:00 PM,0,-0.0152,8.736
12/7/2021,2:50:00 PM,0,-0.0156,8.738
12/7/2021,3:00:00 PM,0,-0.0155,8.738
12/7/2021,3:10:00 PM,0,-0.0158,8.737
12/7/2021,3:20:00 PM,0,-0.016,8.739
12/7/2021,3:30:00 PM,0,-0.0158,8.742
12/7/2021,3:40:00 PM,0,-0.0152,8.74
12/7/2021,3:50:00 PM,0,-0.0158,8.735
12/7/2021,4:00:00 PM,0,-0.0154,8.727
12/7/2021,4:10:00 PM,0,-0.0152,8.716
12/7/2021,4:20:00 PM,0,-0.0154,8.703
12/7/2021,4:30:00 PM,0,-0.0155,8.688
12/7/2021,4:40:00 PM,0,-0.0158,8.674
12/7/2021,4:50:00 PM,0,-0.0155,8.662
12/7/2021,5:00:00 PM,0,-0.0159,8.651
12/7/2021,5:10:00 PM,0,-0.0155,8.641
12/7/2021,5:20:00 PM,0,-0.0152,8.633
12/7/2021,5:30:00 PM,0,-0.0153,8.625
12/7/2021,5:40:00 PM,0,-0.0148,8.618
12/7/2021,5:50:00 PM,0,-0.0153,8.612
12/7/2021,6:00:00 PM,0,-0.0147,8.606
12/7/2021,6:10:00 PM,0,-0.0148,8.602
12/7/2021,6:20:00 PM,0,-0.0154,8.597
12/7/2021,6:30:00 PM,0,-0.0147,8.593
12/7/2021,6:40:00 PM,0,-0.015,8.591
12/7/2021,6:50:00 PM,0,-0.0151,8.587
12/7/2021,7:00:00 PM,0,-0.0151,8.584
12/7/2021,7:10:00 PM,0,-0.0156,8.579
12/7/2021,7:20:00 PM,0,-0.0152,8.578
12/7/2021,7:30:00 PM,0,-0.0144,8.577
12/7/2021,7:40:00 PM,0,-0.0153,8.577
12/7/2021,7:50:00 PM,0,-0.0147,8.578
12/7/2021,8:00:00 PM,0,-0.0158,8.579
12/7/2021,8:10:00 PM,0,-0.0162,8.58
12/7/2021,8:20:00 PM,0,-0.0148,8.583
12/7/2021,8:30:00 PM,0,-0.0158,8.586
12/7/2021,8:40:00 PM,0,-0.0145,8.584
12/7/2021,8:50:00 PM,0,-0.0145,8.579
12/7/2021,9:00:00 PM,0,-0.0154,8.574
12/7/2021,9:10:00 PM,0,-0.0154,8.57
12/7/2021,9:20:00 PM,0,-0.0157,8.562
12/7/2021,9:30:00 PM,0,-0.0138,8.554
12/7/2021,9:40:00 PM,0,-0.0161,8.547
12/7/2021,9:50:00 PM,0,-0.0155,8.538
12/7/2021,10:00:00 PM,0,-0.0155,8.527
12/7/2021,10:10:00 PM,0,-0.016,8.518
12/7/2021,10:20:00 PM,0,-0.0156,8.508
12/7/2021,10:30:00 PM,0,-0.0163,8.498
12/7/2021,10:40:00 PM,0,-0.0166,8.489
12/7/2021,10:50:00 PM,0,-0.017,8.481
12/7/2021,11:00:00 PM,0,-0.0172,8.474
12/7/2021,11:10:00 PM,0,-0.0166,8.466
12/7/2021,11:20:00 PM,0,-0.0169,8.46
12/7/2021,11:30:00 PM,0,-0.0164,8.454
12/7/2021,11:40:00 PM,0,-0.0162,8.448
12/7/2021,11:50:00 PM,0,-0.0161,8.442
12/8/2021,12:00:00 AM,0,-0.0159,8.438
12/8/2021,12:10:00 AM,0,-0.0159,8.436
12/8/2021,12:20:00 AM,0,-0.0152,8.432
12/8/2021,12:30:00 AM,0,-0.0154,8.429
12/8/2021,12:40:00 AM,0,-0.0151,8.428
12/8/2021,12:50:00 AM,0,-0.0138,8.426
12/8/2021,1:00:00 AM,0,-0.0138,8.426
12/8/2021,1:10:00 AM,0,-0.0149,8.424
12/8/2021,1:20:00 AM,0,-0.0137,8.423
12/8/2021,1:30:00 AM,0,-0.0139,8.421
12/8/2021,1:40:00 AM,0,-0.0141,8.422
12/8/2021,1:50:00 AM,0,-0.0132,8.419
12/8/2021,2:00:00 AM,0,-0.0142,8.413
12/8/2021,2:10:00 AM,0,-0.0137,8.403
12/8/2021,2:20:00 AM,0,-0.0148,8.387
12/8/2021,2:30:00 AM,0,-0.0151,8.374
12/8/2021,2:40:00 AM,0,-0.016,8.359
12/8/2021,2:50:00 AM,0,-0.0151,8.347
12/8/2021,3:00:00 AM,0,-0.0151,8.335
12/8/2021,3:10:00 AM,0,-0.0147,8.322
12/8/2021,3:20:00 AM,0,-0.0156,8.31
12/8/2021,3:30:00 AM,0,-0.0149,8.298
12/8/2021,3:40:00 AM,0,-0.0158,8.286
12/8/2021,3:50:00 AM,0,-0.0154,8.275
12/8/2021,4:00:00 AM,0,-0.016,8.265
12/8/2021,4:10:00 AM,0,-0.0157,8.255
12/8/2021,4:20:00 AM,0,-0.0165,8.245
12/8/2021,4:30:00 AM,0,-0.0157,8.237
12/8/2021,4:40:00 AM,0,-0.0168,8.227
12/8/2021,4:50:00 AM,0,-0.0155,8.214
12/8/2021,5:00:00 AM,0,-0.0183,8.203
12/8/2021,5:10:00 AM,0,-0.0165,8.188
12/8/2021,5:20:00 AM,0,-0.0162,8.173
12/8/2021,5:30:00 AM,0,-0.0161,8.163
12/8/2021,5:40:00 AM,0,-0.0153,8.157
12/8/2021,5:50:00 AM,0,-0.0154,8.153
12/8/2021,6:00:00 AM,0,-0.0162,8.15
12/8/2021,6:10:00 AM,0,-0.0161,8.146
12/8/2021,6:20:00 AM,0,-0.0158,8.142
12/8/2021,6:30:00 AM,0,-0.0164,8.137
12/8/2021,6:40:00 AM,0,-0.0161,8.13
12/8/2021,6:50:00 AM,0,-0.0164,8.123
12/8/2021,7:00:00 AM,0,-0.0159,8.114
12/8/2021,7:10:00 AM,0,-0.0155,8.104
12/8/2021,7:20:00 AM,0,-0.0155,8.096
12/8/2021,7:30:00 AM,0,-0.0154,8.091
12/8/2021,7:40:00 AM,0,-0.0156,8.087
12/8/2021,7:50:00 AM,0,-0.015,8.084
12/8/2021,8:00:00 AM,0,-0.0153,8.08
12/8/2021,8:10:00 AM,0,-0.0143,8.076
12/8/2021,8:20:00 AM,0,-0.0137,8.073
12/8/2021,8:30:00 AM,0,-0.0153,8.072
12/8/2021,8:40:00 AM,0,-0.0145,8.071
12/8/2021,8:50:00 AM,0,-0.0151,8.069
12/8/2021,9:00:00 AM,0,-0.016,8.065
12/8/2021,9:10:00 AM,0,-0.0162,8.059
12/8/2021,9:20:00 AM,0,-0.016,8.048
12/8/2021,9:30:00 AM,0,-0.0167,8.033
12/8/2021,9:40:00 AM,0,-0.0167,8.027
12/8/2021,9:50:00 AM,0,-0.0155,8.026
12/8/2021,10:00:00 AM,0,-0.0154,8.031
12/8/2021,10:10:00 AM,0,-0.0151,8.034
12/8/2021,10:20:00 AM,0,-0.016,8.039
12/8/2021,10:30:00 AM,0,-0.0154,8.05
12/8/2021,10:40:00 AM,0,-0.0162,8.059
12/8/2021,10:50:00 AM,0,-0.0158,8.062
12/8/2021,11:00:00 AM,0,-0.0159,8.061
12/8/2021,11:10:00 AM,0,-0.0161,8.062
12/8/2021,11:20:00 AM,0,-0.0165,8.065
12/8/2021,11:30:00 AM,0,-0.0161,8.061
12/8/2021,11:40:00 AM,0,-0.0168,8.049
12/8/2021,11:50:00 AM,0,-0.0162,8.035
12/8/2021,12:00:00 PM,0,-0.0151,8.019
12/8/2021,12:10:00 PM,0,-0.0166,7.994
12/8/2021,12:20:00 PM,0,-0.0162,7.97
12/8/2021,12:30:00 PM,0,-0.0169,7.961
12/8/2021,12:40:00 PM,0,-0.0165,7.959
12/8/2021,12:50:00 PM,0,-0.0169,7.962
12/8/2021,1:00:00 PM,0,-0.0163,7.974
12/8/2021,1:10:00 PM,0,-0.0161,7.978
12/8/2021,1:20:00 PM,0,-0.0172,7.967
12/8/2021,1:30:00 PM,0,-0.0178,7.951
12/8/2021,1:40:00 PM,0,-0.017,7.948
12/8/2021,1:50:00 PM,0,-0.0168,7.957
12/8/2021,2:00:00 PM,0,-0.017,7.96
12/8/2021,2:10:00 PM,0,-0.0166,7.964
12/8/2021,2:20:00 PM,0,-0.0166,7.969
12/8/2021,2:30:00 PM,0,-0.0164,7.981
12/8/2021,2:40:00 PM,0,-0.0163,7.992
12/8/2021,2:50:00 PM,0,-0.0166,7.995
12/8/2021,3:00:00 PM,0,-0.0169,7.992
12/8/2021,3:10:00 PM,0,-0.0176,7.98
