Serial_number:,,,,
2067559,,,,
Project ID:,,,,
,,,,
Location:,,,,
LL 8 XS 23 Site #3,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
3/11/2022,9:00:00 AM,0,0.5358,5.388
3/11/2022,9:10:00 AM,0,0.5357,5.43
3/11/2022,9:20:00 AM,0,0.5338,5.467
3/11/2022,9:30:00 AM,0,0.5317,5.513
3/11/2022,9:40:00 AM,0,0.5316,5.56
3/11/2022,9:50:00 AM,0,0.5301,5.608
3/11/2022,10:00:00 AM,0,0.5273,5.659
3/11/2022,10:10:00 AM,0,0.524,5.722
3/11/2022,10:20:00 AM,0,0.5222,5.793
3/11/2022,10:30:00 AM,0,0.5189,5.861
3/11/2022,10:40:00 AM,0,0.5159,5.939
3/11/2022,10:50:00 AM,0,0.5142,6.015
3/11/2022,11:00:00 AM,0,0.5117,6.104
3/11/2022,11:10:00 AM,0,0.51,6.181
3/11/2022,11:20:00 AM,0,0.5087,6.259
3/11/2022,11:30:00 AM,0,0.5055,6.34
3/11/2022,11:40:00 AM,0,0.5032,6.428
3/11/2022,11:50:00 AM,0,0.5027,6.519
3/11/2022,12:00:00 PM,0,0.5006,6.588
3/11/2022,12:10:00 PM,0,0.5035,6.694
3/11/2022,12:20:00 PM,0,0.502,6.804
3/11/2022,12:30:00 PM,0,0.5007,6.928
3/11/2022,12:40:00 PM,0,0.5003,7.039
3/11/2022,12:50:00 PM,0,0.4992,7.149
3/11/2022,1:00:00 PM,0,0.4989,7.248
3/11/2022,1:10:00 PM,0,0.4989,7.329
3/11/2022,1:20:00 PM,0,0.4971,7.424
3/11/2022,1:30:00 PM,0,0.4983,7.491
3/11/2022,1:40:00 PM,0,0.4989,7.548
3/11/2022,1:50:00 PM,0,0.4971,7.61
3/11/2022,2:00:00 PM,0,0.4955,7.687
3/11/2022,2:10:00 PM,0,0.4944,7.777
3/11/2022,2:20:00 PM,0,0.4955,7.856
3/11/2022,2:30:00 PM,0,0.4945,7.934
3/11/2022,2:40:00 PM,0,0.4936,8.019
3/11/2022,2:50:00 PM,0,0.4937,8.099
3/11/2022,3:00:00 PM,0,0.4973,8.161
3/11/2022,3:10:00 PM,0,0.4966,8.213
3/11/2022,3:20:00 PM,0,0.495,8.254
3/11/2022,3:30:00 PM,0,0.4939,8.282
3/11/2022,3:40:00 PM,0,0.4945,8.303
3/11/2022,3:50:00 PM,0,0.4929,8.313
3/11/2022,4:00:00 PM,0,0.4936,8.313
3/11/2022,4:10:00 PM,0,0.4915,8.305
3/11/2022,4:20:00 PM,0,0.4907,8.29
3/11/2022,4:30:00 PM,0,0.4907,8.269
3/11/2022,4:40:00 PM,0,0.49,8.248
3/11/2022,4:50:00 PM,0,0.4893,8.221
3/11/2022,5:00:00 PM,0,0.4891,8.195
3/11/2022,5:10:00 PM,0,0.4891,8.168
3/11/2022,5:20:00 PM,0,0.488,8.139
3/11/2022,5:30:00 PM,0,0.4882,8.107
3/11/2022,5:40:00 PM,0,0.4878,8.08
3/11/2022,5:50:00 PM,0,0.4875,8.049
3/11/2022,6:00:00 PM,0,0.4865,8.019
3/11/2022,6:10:00 PM,0,0.4867,7.982
3/11/2022,6:20:00 PM,0,0.4867,7.944
3/11/2022,6:30:00 PM,0,0.4851,7.901
3/11/2022,6:40:00 PM,0,0.4854,7.858
3/11/2022,6:50:00 PM,0,0.485,7.811
3/11/2022,7:00:00 PM,0,0.4842,7.763
3/11/2022,7:10:00 PM,0,0.484,7.713
3/11/2022,7:20:00 PM,0,0.4838,7.665
3/11/2022,7:30:00 PM,0,0.4843,7.611
3/11/2022,7:40:00 PM,0,0.4838,7.56
3/11/2022,7:50:00 PM,0,0.4831,7.509
3/11/2022,8:00:00 PM,0,0.4833,7.458
3/11/2022,8:10:00 PM,0,0.4839,7.401
3/11/2022,8:20:00 PM,0,0.4834,7.347
3/11/2022,8:30:00 PM,0,0.4822,7.296
3/11/2022,8:40:00 PM,0,0.4825,7.242
3/11/2022,8:50:00 PM,0,0.4824,7.188
3/11/2022,9:00:00 PM,0,0.4821,7.132
3/11/2022,9:10:00 PM,0,0.4826,7.079
3/11/2022,9:20:00 PM,0,0.4814,7.024
3/11/2022,9:30:00 PM,0,0.4817,6.972
3/11/2022,9:40:00 PM,0,0.4819,6.919
3/11/2022,9:50:00 PM,0,0.4826,6.869
3/11/2022,10:00:00 PM,0,0.482,6.815
3/11/2022,10:10:00 PM,0,0.4818,6.767
3/11/2022,10:20:00 PM,0,0.4823,6.72
3/11/2022,10:30:00 PM,0,0.4814,6.669
3/11/2022,10:40:00 PM,0,0.481,6.621
3/11/2022,10:50:00 PM,0,0.4818,6.571
3/11/2022,11:00:00 PM,0,0.4815,6.526
3/11/2022,11:10:00 PM,0,0.481,6.48
3/11/2022,11:20:00 PM,0,0.4807,6.434
3/11/2022,11:30:00 PM,0,0.4818,6.389
3/11/2022,11:40:00 PM,0,0.4811,6.348
3/11/2022,11:50:00 PM,0,0.4815,6.304
3/12/2022,12:00:00 AM,0,0.4814,6.264
3/12/2022,12:10:00 AM,0,0.4811,6.223
3/12/2022,12:20:00 AM,0,0.4816,6.185
3/12/2022,12:30:00 AM,0,0.4807,6.143
