Serial_number:,,,,
2073011,,,,
Project ID:,,,,
,,,,
Location:,,,,
LL 4 XS 11 Site#3,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
8/11/2021,12:10:00 PM,0,0.0115,18.428
8/11/2021,12:20:00 PM,0,0.0081,17.138
8/11/2021,12:30:00 PM,0,0.0066,16.653
8/11/2021,12:40:00 PM,0,0.0044,16.421
8/11/2021,12:50:00 PM,0,0.0034,16.309
8/11/2021,1:00:00 PM,0,0.0037,16.258
8/11/2021,1:10:00 PM,0,0.0024,16.267
8/11/2021,1:20:00 PM,0,0.0027,16.323
8/11/2021,1:30:00 PM,0,0.0024,16.386
8/11/2021,1:40:00 PM,0,0.0027,16.412
8/11/2021,1:50:00 PM,0,0.0012,16.463
8/11/2021,2:00:00 PM,0,0.0015,16.509
8/11/2021,2:10:00 PM,0,0.0023,16.581
8/11/2021,2:20:00 PM,0,0.0008,16.637
8/11/2021,2:30:00 PM,0,0.0013,16.686
8/11/2021,2:40:00 PM,0,0.0012,16.739
8/11/2021,2:50:00 PM,0,0.001,16.778
8/11/2021,3:00:00 PM,0,0.001,16.877
8/11/2021,3:10:00 PM,0,0.0019,16.896
8/11/2021,3:20:00 PM,0,0.0016,16.913
8/11/2021,3:30:00 PM,0,0.0006,16.929
8/11/2021,3:40:00 PM,0,0.0016,16.914
8/11/2021,3:50:00 PM,0,0.0016,16.913
8/11/2021,4:00:00 PM,0,0.0017,16.912
8/11/2021,4:10:00 PM,0,0.0016,16.91
8/11/2021,4:20:00 PM,0,0.0014,16.907
8/11/2021,4:30:00 PM,0,0.0012,16.909
8/11/2021,4:40:00 PM,0,0.0013,16.904
8/11/2021,4:50:00 PM,0,0.0016,16.914
8/11/2021,5:00:00 PM,0,0.002,16.933
8/11/2021,5:10:00 PM,0,0.0015,16.919
8/11/2021,5:20:00 PM,0,0.0013,16.9
8/11/2021,5:30:00 PM,0,0.0008,16.88
8/11/2021,5:40:00 PM,0,0.0009,16.862
8/11/2021,5:50:00 PM,0,0.0003,16.84
8/11/2021,6:00:00 PM,0,0.0008,16.817
8/11/2021,6:10:00 PM,0,0.0008,16.795
8/11/2021,6:20:00 PM,0,0.0005,16.778
8/11/2021,6:30:00 PM,0,0.0006,16.756
8/11/2021,6:40:00 PM,0,0.0002,16.735
8/11/2021,6:50:00 PM,0,-0.0004,16.715
8/11/2021,7:00:00 PM,0,0.0002,16.697
8/11/2021,7:10:00 PM,0,0.0003,16.677
8/11/2021,7:20:00 PM,0,0.0004,16.654
8/11/2021,7:30:00 PM,0,-0.0001,16.629
8/11/2021,7:40:00 PM,0,-0.0002,16.608
8/11/2021,7:50:00 PM,0,0.0001,16.586
8/11/2021,8:00:00 PM,0,-0.0005,16.563
8/11/2021,8:10:00 PM,0,-0.0005,16.541
8/11/2021,8:20:00 PM,0,-0.0005,16.519
8/11/2021,8:30:00 PM,0,-0.0011,16.497
8/11/2021,8:40:00 PM,0,-0.0013,16.474
8/11/2021,8:50:00 PM,0,-0.0011,16.451
8/11/2021,9:00:00 PM,0,-0.0014,16.429
8/11/2021,9:10:00 PM,0,-0.0016,16.407
8/11/2021,9:20:00 PM,0,-0.0017,16.386
8/11/2021,9:30:00 PM,0,-0.0021,16.365
8/11/2021,9:40:00 PM,0,-0.0017,16.344
8/11/2021,9:50:00 PM,0,-0.0018,16.322
8/11/2021,10:00:00 PM,0,-0.0016,16.299
8/11/2021,10:10:00 PM,0,-0.0019,16.278
8/11/2021,10:20:00 PM,0,-0.0024,16.257
8/11/2021,10:30:00 PM,0,-0.0023,16.232
8/11/2021,10:40:00 PM,0,-0.0023,16.211
8/11/2021,10:50:00 PM,0,-0.0022,16.193
8/11/2021,11:00:00 PM,0,-0.0024,16.172
8/11/2021,11:10:00 PM,0,-0.0026,16.145
8/11/2021,11:20:00 PM,0,-0.0025,16.117
8/11/2021,11:30:00 PM,0,-0.0025,16.088
8/11/2021,11:40:00 PM,0,-0.0023,16.053
8/11/2021,11:50:00 PM,0,-0.0028,16.009
8/12/2021,12:00:00 AM,0,-0.0032,15.959
8/12/2021,12:10:00 AM,0,-0.0027,15.91
8/12/2021,12:20:00 AM,0,-0.0023,15.847
8/12/2021,12:30:00 AM,0,-0.0031,15.787
8/12/2021,12:40:00 AM,0,-0.0031,15.729
8/12/2021,12:50:00 AM,0,-0.0026,15.677
8/12/2021,1:00:00 AM,0,-0.0029,15.621
8/12/2021,1:10:00 AM,0,-0.0027,15.531
8/12/2021,1:20:00 AM,0,-0.003,15.464
8/12/2021,1:30:00 AM,0,-0.003,15.447
8/12/2021,1:40:00 AM,0,-0.0029,15.371
8/12/2021,1:50:00 AM,0,-0.0029,15.309
8/12/2021,2:00:00 AM,0,-0.0031,15.281
8/12/2021,2:10:00 AM,0,-0.0036,15.235
8/12/2021,2:20:00 AM,0,-0.0036,15.181
8/12/2021,2:30:00 AM,0,-0.0029,15.143
8/12/2021,2:40:00 AM,0,-0.003,15.114
8/12/2021,2:50:00 AM,0,-0.003,15.059
8/12/2021,3:00:00 AM,0,-0.0024,15.038
8/12/2021,3:10:00 AM,0,-0.0029,14.99
8/12/2021,3:20:00 AM,0,-0.0029,14.939
8/12/2021,3:30:00 AM,0,-0.0035,14.907
8/12/2021,3:40:00 AM,0,-0.0032,14.887
8/12/2021,3:50:00 AM,0,-0.0034,14.862
8/12/2021,4:00:00 AM,0,-0.0033,14.818
8/12/2021,4:10:00 AM,0,-0.0027,14.768
8/12/2021,4:20:00 AM,0,-0.003,14.74
8/12/2021,4:30:00 AM,0,-0.0029,14.698
8/12/2021,4:40:00 AM,0,-0.0029,14.65
8/12/2021,4:50:00 AM,0,-0.0037,14.615
8/12/2021,5:00:00 AM,0,-0.003,14.591
8/12/2021,5:10:00 AM,0,-0.0034,14.569
8/12/2021,5:20:00 AM,0,-0.0027,14.517
8/12/2021,5:30:00 AM,0,-0.0029,14.491
8/12/2021,5:40:00 AM,0,-0.0027,14.479
8/12/2021,5:50:00 AM,0,-0.0025,14.431
8/12/2021,6:00:00 AM,0,-0.0021,14.401
8/12/2021,6:10:00 AM,0,-0.003,14.4
8/12/2021,6:20:00 AM,0,-0.002,14.388
8/12/2021,6:30:00 AM,0,-0.002,14.389
8/12/2021,6:40:00 AM,0,-0.0013,14.408
8/12/2021,6:50:00 AM,0,-0.0015,14.43
8/12/2021,7:00:00 AM,0,-0.0006,14.455
8/12/2021,7:10:00 AM,0,-0.0002,14.487
8/12/2021,7:20:00 AM,0,0.0003,14.51
8/12/2021,7:30:00 AM,0,0.0005,14.551
8/12/2021,7:40:00 AM,0,0.0009,14.609
8/12/2021,7:50:00 AM,0,0.0015,14.669
8/12/2021,8:00:00 AM,0,0.0021,14.74
8/12/2021,8:10:00 AM,0,0.0025,14.806
8/12/2021,8:20:00 AM,0,0.003,14.877
8/12/2021,8:30:00 AM,0,0.0034,14.933
8/12/2021,8:40:00 AM,0,0.0038,14.976
8/12/2021,8:50:00 AM,0,0.0044,15.053
8/12/2021,9:00:00 AM,0,0.0046,15.121
8/12/2021,9:10:00 AM,0,0.0053,15.189
8/12/2021,9:20:00 AM,0,0.0053,15.255
8/12/2021,9:30:00 AM,0,0.0054,15.335
8/12/2021,9:40:00 AM,0,0.0057,15.401
8/12/2021,9:50:00 AM,0,0.006,15.466
8/12/2021,10:00:00 AM,0,0.0057,15.561
8/12/2021,10:10:00 AM,0,0.0068,15.969
8/12/2021,10:20:00 AM,0,0.0074,16.186
8/12/2021,10:30:00 AM,0,0.0082,16.156
8/12/2021,10:40:00 AM,0,0.0088,16.455
8/12/2021,10:50:00 AM,0,0.0082,16.478
8/12/2021,11:00:00 AM,0,0.0071,16.328
8/12/2021,11:10:00 AM,0,0.0076,16.286
8/12/2021,11:20:00 AM,0,0.0077,16.305
8/12/2021,11:30:00 AM,0,0.0071,16.315
8/12/2021,11:40:00 AM,0,0.0065,16.342
8/12/2021,11:50:00 AM,0,0.0059,16.381
8/12/2021,12:00:00 PM,0,0.0051,16.422
8/12/2021,12:10:00 PM,0,0.0047,16.467
8/12/2021,12:20:00 PM,0,0.0042,16.487
8/12/2021,12:30:00 PM,0,0.004,16.504
8/12/2021,12:40:00 PM,0,0.0038,16.541
8/12/2021,12:50:00 PM,0,0.0027,16.584
8/12/2021,1:00:00 PM,0,0.0026,16.637
8/12/2021,1:10:00 PM,0,0.0034,16.689
8/12/2021,1:20:00 PM,0,0.003,16.772
8/12/2021,1:30:00 PM,0,0.0018,16.851
8/12/2021,1:40:00 PM,0,0.0028,16.905
8/12/2021,1:50:00 PM,0,0.002,16.988
8/12/2021,2:00:00 PM,0,0.0021,17.112
8/12/2021,2:10:00 PM,0,0.002,17.191
8/12/2021,2:20:00 PM,0,0.0026,17.252
8/12/2021,2:30:00 PM,0,0.0019,17.319
8/12/2021,2:40:00 PM,0,0.0014,17.404
8/12/2021,2:50:00 PM,0,0.0013,17.422
8/12/2021,3:00:00 PM,0,0.0006,17.44
8/12/2021,3:10:00 PM,0,0.0013,17.49
8/12/2021,3:20:00 PM,0,0.0009,17.479
8/12/2021,3:30:00 PM,0,0.0011,17.497
8/12/2021,3:40:00 PM,0,0.0013,17.465
8/12/2021,3:50:00 PM,0,0.0012,17.464
8/12/2021,4:00:00 PM,0,0.0014,17.482
8/12/2021,4:10:00 PM,0,0.0005,17.487
8/12/2021,4:20:00 PM,0,0.0013,17.487
8/12/2021,4:30:00 PM,0,0.0021,17.522
8/12/2021,4:40:00 PM,0,0.0017,17.496
8/12/2021,4:50:00 PM,0,0.0025,17.466
8/12/2021,5:00:00 PM,0,0.0015,17.453
8/12/2021,5:10:00 PM,0,0.0014,17.42
8/12/2021,5:20:00 PM,0,0.0016,17.372
8/12/2021,5:30:00 PM,0,0.0007,17.336
8/12/2021,5:40:00 PM,0,0.001,17.311
8/12/2021,5:50:00 PM,0,0.0008,17.28
8/12/2021,6:00:00 PM,0,0.0003,17.258
8/12/2021,6:10:00 PM,0,0.0002,17.226
8/12/2021,6:20:00 PM,0,0.0002,17.187
8/12/2021,6:30:00 PM,0,-0.0001,17.154
8/12/2021,6:40:00 PM,0,-0.0002,17.13
8/12/2021,6:50:00 PM,0,0.0003,17.105
8/12/2021,7:00:00 PM,0,-0.0007,17.078
8/12/2021,7:10:00 PM,0,-0.0001,17.047
8/12/2021,7:20:00 PM,0,-0.0006,17.012
8/12/2021,7:30:00 PM,0,0,16.976
8/12/2021,7:40:00 PM,0,-0.0007,16.943
8/12/2021,7:50:00 PM,0,-0.0005,16.908
8/12/2021,8:00:00 PM,0,-0.0009,16.874
8/12/2021,8:10:00 PM,0,-0.001,16.838
8/12/2021,8:20:00 PM,0,-0.0009,16.805
8/12/2021,8:30:00 PM,0,-0.0013,16.77
8/12/2021,8:40:00 PM,0,-0.0014,16.728
8/12/2021,8:50:00 PM,0,-0.0015,16.695
8/12/2021,9:00:00 PM,0,-0.0019,16.655
8/12/2021,9:10:00 PM,0,-0.0024,16.616
8/12/2021,9:20:00 PM,0,-0.0021,16.576
8/12/2021,9:30:00 PM,0,-0.0027,16.511
8/12/2021,9:40:00 PM,0,-0.0021,16.477
8/12/2021,9:50:00 PM,0,-0.0024,16.418
8/12/2021,10:00:00 PM,0,-0.0025,16.355
8/12/2021,10:10:00 PM,0,-0.0025,16.309
8/12/2021,10:20:00 PM,0,-0.0027,16.265
8/12/2021,10:30:00 PM,0,-0.0033,16.229
8/12/2021,10:40:00 PM,0,-0.0033,16.166
