Serial_number:,,,,
2073011,,,,
Project ID:,,,,
,,,,
Location:,,,,
LL 4 XS 11 Site#3,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
11/19/2021,1:20:00 PM,0,0.1472,10.129
11/19/2021,1:30:00 PM,0,0.1485,10.038
11/19/2021,1:40:00 PM,0,0.1486,10.035
11/19/2021,1:50:00 PM,0,0.1483,10.038
11/19/2021,2:00:00 PM,0,0.1477,10.045
11/19/2021,2:10:00 PM,0,0.1471,10.052
11/19/2021,2:20:00 PM,0,0.1466,10.056
11/19/2021,2:30:00 PM,0,0.1471,10.064
11/19/2021,2:40:00 PM,0,0.1469,10.072
11/19/2021,2:50:00 PM,0,0.1478,10.076
11/19/2021,3:00:00 PM,0,0.146,10.076
11/19/2021,3:10:00 PM,0,0.148,10.071
11/19/2021,3:20:00 PM,0,0.1468,10.065
11/19/2021,3:30:00 PM,0,0.1467,10.052
11/19/2021,3:40:00 PM,0,0.1464,10.039
11/19/2021,3:50:00 PM,0,0.1456,10.021
11/19/2021,4:00:00 PM,0,0.1471,10.002
11/19/2021,4:10:00 PM,0,0.1455,9.981
11/19/2021,4:20:00 PM,0,0.1459,9.96
11/19/2021,4:30:00 PM,0,0.1444,9.937
11/19/2021,4:40:00 PM,0,0.1437,9.909
11/19/2021,4:50:00 PM,0,0.1452,9.879
11/19/2021,5:00:00 PM,0,0.1428,9.846
11/19/2021,5:10:00 PM,0,0.1424,9.814
11/19/2021,5:20:00 PM,0,0.1416,9.779
11/19/2021,5:30:00 PM,0,0.142,9.742
11/19/2021,5:40:00 PM,0,0.1413,9.704
11/19/2021,5:50:00 PM,0,0.1409,9.664
11/19/2021,6:00:00 PM,0,0.1404,9.623
11/19/2021,6:10:00 PM,0,0.1392,9.581
11/19/2021,6:20:00 PM,0,0.1402,9.539
11/19/2021,6:30:00 PM,0,0.1395,9.494
11/19/2021,6:40:00 PM,0,0.1394,9.449
11/19/2021,6:50:00 PM,0,0.1383,9.401
11/19/2021,7:00:00 PM,0,0.1389,9.354
11/19/2021,7:10:00 PM,0,0.1387,9.306
11/19/2021,7:20:00 PM,0,0.137,9.26
11/19/2021,7:30:00 PM,0,0.1381,9.213
11/19/2021,7:40:00 PM,0,0.1383,9.168
11/19/2021,7:50:00 PM,0,0.1356,9.124
11/19/2021,8:00:00 PM,0,0.1368,9.082
11/19/2021,8:10:00 PM,0,0.1372,9.04
11/19/2021,8:20:00 PM,0,0.1362,9.001
11/19/2021,8:30:00 PM,0,0.1375,8.961
11/19/2021,8:40:00 PM,0,0.1372,8.925
11/19/2021,8:50:00 PM,0,0.1368,8.89
11/19/2021,9:00:00 PM,0,0.1366,8.857
11/19/2021,9:10:00 PM,0,0.1351,8.823
11/19/2021,9:20:00 PM,0,0.1361,8.79
11/19/2021,9:30:00 PM,0,0.1347,8.757
11/19/2021,9:40:00 PM,0,0.1363,8.723
11/19/2021,9:50:00 PM,0,0.1351,8.691
11/19/2021,10:00:00 PM,0,0.136,8.66
11/19/2021,10:10:00 PM,0,0.1338,8.629
11/19/2021,10:20:00 PM,0,0.1341,8.599
11/19/2021,10:30:00 PM,0,0.1338,8.568
11/19/2021,10:40:00 PM,0,0.1333,8.539
11/19/2021,10:50:00 PM,0,0.133,8.509
11/19/2021,11:00:00 PM,0,0.1341,8.482
11/19/2021,11:10:00 PM,0,0.1319,8.455
11/19/2021,11:20:00 PM,0,0.1319,8.428
11/19/2021,11:30:00 PM,0,0.1311,8.404
11/19/2021,11:40:00 PM,0,0.1318,8.379
11/19/2021,11:50:00 PM,0,0.1316,8.357
11/20/2021,12:00:00 AM,0,0.1314,8.333
11/20/2021,12:10:00 AM,0,0.1317,8.31
11/20/2021,12:20:00 AM,0,0.1313,8.286
11/20/2021,12:30:00 AM,0,0.1325,8.262
11/20/2021,12:40:00 AM,0,0.1319,8.241
11/20/2021,12:50:00 AM,0,0.1324,8.221
11/20/2021,1:00:00 AM,0,0.1312,8.2
11/20/2021,1:10:00 AM,0,0.1323,8.179
11/20/2021,1:20:00 AM,0,0.1316,8.158
11/20/2021,1:30:00 AM,0,0.1318,8.138
11/20/2021,1:40:00 AM,0,0.1313,8.118
11/20/2021,1:50:00 AM,0,0.1309,8.097
11/20/2021,2:00:00 AM,0,0.1318,8.077
11/20/2021,2:10:00 AM,0,0.1311,8.057
11/20/2021,2:20:00 AM,0,0.1303,8.038
11/20/2021,2:30:00 AM,0,0.131,8.021
11/20/2021,2:40:00 AM,0,0.1306,8.008
11/20/2021,2:50:00 AM,0,0.13,8
11/20/2021,3:00:00 AM,0,0.1307,7.994
11/20/2021,3:10:00 AM,0,0.1316,7.991
11/20/2021,3:20:00 AM,0,0.1308,7.987
