Serial_number:,,,,
2073011,,,,
Project ID:,,,,
,,,,
Location:,,,,
LL 4 XS 11 Site#3,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
12/7/2021,11:20:00 AM,0,0.2623,9.735
12/7/2021,11:30:00 AM,0,0.2507,9.756
12/7/2021,11:40:00 AM,0,0.2426,9.778
12/7/2021,11:50:00 AM,0,0.2361,9.799
12/7/2021,12:00:00 PM,0,0.228,9.821
12/7/2021,12:10:00 PM,0,0.2205,9.843
12/7/2021,12:20:00 PM,0,0.2141,9.865
12/7/2021,12:30:00 PM,0,0.2047,9.887
12/7/2021,12:40:00 PM,0,0.1969,9.91
12/7/2021,12:50:00 PM,0,0.1896,9.93
12/7/2021,1:00:00 PM,0,0.1821,9.947
12/7/2021,1:10:00 PM,0,0.1748,9.96
12/7/2021,1:20:00 PM,0,0.1674,9.976
12/7/2021,1:30:00 PM,0,0.159,9.99
12/7/2021,1:40:00 PM,0,0.1497,10.002
12/7/2021,1:50:00 PM,0,0.1417,10.014
12/7/2021,2:00:00 PM,0,0.1346,10.025
12/7/2021,2:10:00 PM,0,0.1274,10.034
12/7/2021,2:20:00 PM,0,0.1205,10.041
12/7/2021,2:30:00 PM,0,0.1208,10.047
12/7/2021,2:40:00 PM,0,0.1209,10.051
12/7/2021,2:50:00 PM,0,0.121,10.053
12/7/2021,3:00:00 PM,0,0.1211,10.055
12/7/2021,3:10:00 PM,0,0.1213,10.057
12/7/2021,3:20:00 PM,0,0.1215,10.059
12/7/2021,3:30:00 PM,0,0.1212,10.059
12/7/2021,3:40:00 PM,0,0.121,10.059
12/7/2021,3:50:00 PM,0,0.1206,10.057
12/7/2021,4:00:00 PM,0,0.1209,10.054
12/7/2021,4:10:00 PM,0,0.1219,10.05
12/7/2021,4:20:00 PM,0,0.1211,10.045
12/7/2021,4:30:00 PM,0,0.1215,10.041
12/7/2021,4:40:00 PM,0,0.1224,10.035
12/7/2021,4:50:00 PM,0,0.1217,10.029
12/7/2021,5:00:00 PM,0,0.1215,10.023
12/7/2021,5:10:00 PM,0,0.1216,10.017
12/7/2021,5:20:00 PM,0,0.1224,10.01
12/7/2021,5:30:00 PM,0,0.1231,10.004
12/7/2021,5:40:00 PM,0,0.1225,9.997
12/7/2021,5:50:00 PM,0,0.1224,9.991
12/7/2021,6:00:00 PM,0,0.1223,9.985
