Serial_number:,,,,
2073011,,,,
Project ID:,,,,
,,,,
Location:,,,,
LL 4 XS 11 Site#3,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
3/11/2022,9:00:00 AM,0,0.0957,5.821
3/11/2022,9:10:00 AM,0,0.0968,5.866
3/11/2022,9:20:00 AM,0,0.0945,5.902
3/11/2022,9:30:00 AM,0,0.0916,5.956
3/11/2022,9:40:00 AM,0,0.0929,6.003
3/11/2022,9:50:00 AM,0,0.0905,6.052
3/11/2022,10:00:00 AM,0,0.0887,6.106
3/11/2022,10:10:00 AM,0,0.086,6.167
3/11/2022,10:20:00 AM,0,0.0841,6.223
3/11/2022,10:30:00 AM,0,0.0806,6.283
3/11/2022,10:40:00 AM,0,0.0783,6.348
3/11/2022,10:50:00 AM,0,0.0767,6.425
3/11/2022,11:00:00 AM,0,0.0751,6.505
3/11/2022,11:10:00 AM,0,0.0738,6.585
3/11/2022,11:20:00 AM,0,0.0718,6.66
3/11/2022,11:30:00 AM,0,0.0699,6.735
3/11/2022,11:40:00 AM,0,0.0672,6.812
3/11/2022,11:50:00 AM,0,0.0679,6.899
3/11/2022,12:00:00 PM,0,0.0662,6.982
3/11/2022,12:10:00 PM,0,0.0684,7.077
3/11/2022,12:20:00 PM,0,0.0676,7.18
3/11/2022,12:30:00 PM,0,0.067,7.291
3/11/2022,12:40:00 PM,0,0.0669,7.396
3/11/2022,12:50:00 PM,0,0.0657,7.502
3/11/2022,1:00:00 PM,0,0.0654,7.596
3/11/2022,1:10:00 PM,0,0.0664,7.68
3/11/2022,1:20:00 PM,0,0.0653,7.759
3/11/2022,1:30:00 PM,0,0.0655,7.834
3/11/2022,1:40:00 PM,0,0.0675,7.893
3/11/2022,1:50:00 PM,0,0.0654,7.948
3/11/2022,2:00:00 PM,0,0.0641,8.01
3/11/2022,2:10:00 PM,0,0.063,8.088
3/11/2022,2:20:00 PM,0,0.064,8.168
3/11/2022,2:30:00 PM,0,0.0638,8.244
3/11/2022,2:40:00 PM,0,0.0632,8.32
3/11/2022,2:50:00 PM,0,0.0641,8.395
3/11/2022,3:00:00 PM,0,0.0671,8.457
3/11/2022,3:10:00 PM,0,0.0661,8.511
3/11/2022,3:20:00 PM,0,0.0651,8.556
3/11/2022,3:30:00 PM,0,0.0647,8.589
3/11/2022,3:40:00 PM,0,0.0652,8.615
3/11/2022,3:50:00 PM,0,0.0628,8.633
3/11/2022,4:00:00 PM,0,0.0626,8.639
3/11/2022,4:10:00 PM,0,0.0614,8.636
3/11/2022,4:20:00 PM,0,0.0609,8.625
3/11/2022,4:30:00 PM,0,0.0597,8.61
3/11/2022,4:40:00 PM,0,0.0593,8.591
3/11/2022,4:50:00 PM,0,0.0594,8.569
3/11/2022,5:00:00 PM,0,0.0583,8.547
3/11/2022,5:10:00 PM,0,0.0579,8.522
3/11/2022,5:20:00 PM,0,0.0576,8.495
3/11/2022,5:30:00 PM,0,0.0565,8.465
3/11/2022,5:40:00 PM,0,0.0565,8.434
3/11/2022,5:50:00 PM,0,0.0561,8.404
3/11/2022,6:00:00 PM,0,0.0556,8.375
3/11/2022,6:10:00 PM,0,0.0554,8.342
3/11/2022,6:20:00 PM,0,0.0551,8.303
3/11/2022,6:30:00 PM,0,0.0539,8.263
3/11/2022,6:40:00 PM,0,0.0537,8.22
3/11/2022,6:50:00 PM,0,0.0524,8.176
3/11/2022,7:00:00 PM,0,0.0524,8.13
3/11/2022,7:10:00 PM,0,0.0525,8.084
3/11/2022,7:20:00 PM,0,0.0515,8.036
3/11/2022,7:30:00 PM,0,0.0513,7.988
3/11/2022,7:40:00 PM,0,0.0511,7.938
3/11/2022,7:50:00 PM,0,0.0507,7.887
3/11/2022,8:00:00 PM,0,0.0503,7.836
3/11/2022,8:10:00 PM,0,0.0495,7.783
3/11/2022,8:20:00 PM,0,0.0494,7.731
3/11/2022,8:30:00 PM,0,0.0488,7.679
3/11/2022,8:40:00 PM,0,0.0491,7.627
3/11/2022,8:50:00 PM,0,0.0482,7.574
3/11/2022,9:00:00 PM,0,0.0477,7.52
3/11/2022,9:10:00 PM,0,0.0478,7.469
3/11/2022,9:20:00 PM,0,0.0472,7.416
3/11/2022,9:30:00 PM,0,0.0471,7.364
3/11/2022,9:40:00 PM,0,0.0472,7.311
3/11/2022,9:50:00 PM,0,0.0475,7.261
3/11/2022,10:00:00 PM,0,0.0472,7.213
3/11/2022,10:10:00 PM,0,0.0457,7.165
3/11/2022,10:20:00 PM,0,0.0467,7.118
3/11/2022,10:30:00 PM,0,0.0459,7.07
3/11/2022,10:40:00 PM,0,0.0458,7.021
3/11/2022,10:50:00 PM,0,0.0457,6.976
3/11/2022,11:00:00 PM,0,0.0453,6.929
3/11/2022,11:10:00 PM,0,0.0456,6.882
3/11/2022,11:20:00 PM,0,0.044,6.838
3/11/2022,11:30:00 PM,0,0.0448,6.793
3/11/2022,11:40:00 PM,0,0.0447,6.753
