Serial_number:,,,,
2075351,,,,
Project ID:,,,,
,,,,
Location:,,,,
LL 9 XS 25 Site #3,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
3/11/2022,9:00:00 AM,0,0.2212,5.406
3/11/2022,9:10:00 AM,0,0.2212,5.443
3/11/2022,9:20:00 AM,0,0.2198,5.483
3/11/2022,9:30:00 AM,0,0.2186,5.536
3/11/2022,9:40:00 AM,0,0.2182,5.577
3/11/2022,9:50:00 AM,0,0.2164,5.636
3/11/2022,10:00:00 AM,0,0.2136,5.698
3/11/2022,10:10:00 AM,0,0.2114,5.763
3/11/2022,10:20:00 AM,0,0.2097,5.832
3/11/2022,10:30:00 AM,0,0.2059,5.909
3/11/2022,10:40:00 AM,0,0.2041,5.986
3/11/2022,10:50:00 AM,0,0.2014,6.074
3/11/2022,11:00:00 AM,0,0.2007,6.148
3/11/2022,11:10:00 AM,0,0.2004,6.233
3/11/2022,11:20:00 AM,0,0.1972,6.316
3/11/2022,11:30:00 AM,0,0.1951,6.401
3/11/2022,11:40:00 AM,0,0.1928,6.487
3/11/2022,11:50:00 AM,0,0.1925,6.571
3/11/2022,12:00:00 PM,0,0.1917,6.655
3/11/2022,12:10:00 PM,0,0.1936,6.767
3/11/2022,12:20:00 PM,0,0.1924,6.889
3/11/2022,12:30:00 PM,0,0.1916,7.014
3/11/2022,12:40:00 PM,0,0.1912,7.122
3/11/2022,12:50:00 PM,0,0.1903,7.219
3/11/2022,1:00:00 PM,0,0.1904,7.303
3/11/2022,1:10:00 PM,0,0.1914,7.385
3/11/2022,1:20:00 PM,0,0.191,7.46
3/11/2022,1:30:00 PM,0,0.1914,7.521
3/11/2022,1:40:00 PM,0,0.192,7.572
3/11/2022,1:50:00 PM,0,0.1912,7.643
3/11/2022,2:00:00 PM,0,0.1894,7.725
3/11/2022,2:10:00 PM,0,0.1886,7.815
3/11/2022,2:20:00 PM,0,0.1897,7.897
3/11/2022,2:30:00 PM,0,0.1898,7.977
3/11/2022,2:40:00 PM,0,0.1893,8.062
3/11/2022,2:50:00 PM,0,0.1877,8.133
3/11/2022,3:00:00 PM,0,0.1929,8.183
3/11/2022,3:10:00 PM,0,0.1914,8.228
3/11/2022,3:20:00 PM,0,0.1911,8.255
3/11/2022,3:30:00 PM,0,0.1891,8.279
3/11/2022,3:40:00 PM,0,0.1908,8.291
3/11/2022,3:50:00 PM,0,0.1881,8.292
3/11/2022,4:00:00 PM,0,0.1878,8.284
3/11/2022,4:10:00 PM,0,0.1877,8.272
3/11/2022,4:20:00 PM,0,0.1862,8.253
3/11/2022,4:30:00 PM,0,0.1854,8.23
3/11/2022,4:40:00 PM,0,0.1839,8.206
3/11/2022,4:50:00 PM,0,0.1846,8.181
3/11/2022,5:00:00 PM,0,0.1844,8.155
3/11/2022,5:10:00 PM,0,0.1843,8.127
3/11/2022,5:20:00 PM,0,0.1825,8.098
3/11/2022,5:30:00 PM,0,0.1813,8.066
3/11/2022,5:40:00 PM,0,0.1821,8.037
3/11/2022,5:50:00 PM,0,0.1816,8.008
3/11/2022,6:00:00 PM,0,0.1807,7.976
3/11/2022,6:10:00 PM,0,0.1798,7.939
3/11/2022,6:20:00 PM,0,0.1809,7.898
3/11/2022,6:30:00 PM,0,0.1791,7.855
3/11/2022,6:40:00 PM,0,0.1788,7.81
3/11/2022,6:50:00 PM,0,0.1782,7.764
3/11/2022,7:00:00 PM,0,0.1779,7.715
3/11/2022,7:10:00 PM,0,0.1786,7.665
