Serial_number:,,,,
2075482,,,,
Project ID:,,,,
,,,,
Location:,,,,
LL10 XS 28 Site#3,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
11/19/2021,2:00:00 PM,0,0.2967,9.821
11/19/2021,2:10:00 PM,0,0.304,9.748
11/19/2021,2:20:00 PM,0,0.2987,9.731
11/19/2021,2:30:00 PM,0,0.2994,9.731
11/19/2021,2:40:00 PM,0,0.3014,9.735
11/19/2021,2:50:00 PM,0,0.3013,9.738
11/19/2021,3:00:00 PM,0,0.3017,9.74
11/19/2021,3:10:00 PM,0,0.2977,9.738
11/19/2021,3:20:00 PM,0,0.2952,9.734
11/19/2021,3:30:00 PM,0,0.2969,9.726
11/19/2021,3:40:00 PM,0,0.2943,9.714
11/19/2021,3:50:00 PM,0,0.2956,9.699
11/19/2021,4:00:00 PM,0,0.2895,9.681
11/19/2021,4:10:00 PM,0,0.2931,9.662
11/19/2021,4:20:00 PM,0,0.2956,9.642
11/19/2021,4:30:00 PM,0,0.2952,9.621
11/19/2021,4:40:00 PM,0,0.2931,9.594
11/19/2021,4:50:00 PM,0,0.2914,9.567
11/19/2021,5:00:00 PM,0,0.2887,9.534
11/19/2021,5:10:00 PM,0,0.2929,9.502
11/19/2021,5:20:00 PM,0,0.2851,9.466
11/19/2021,5:30:00 PM,0,0.292,9.431
11/19/2021,5:40:00 PM,0,0.2875,9.392
11/19/2021,5:50:00 PM,0,0.2893,9.354
11/19/2021,6:00:00 PM,0,0.2865,9.314
11/19/2021,6:10:00 PM,0,0.2859,9.274
11/19/2021,6:20:00 PM,0,0.2924,9.229
11/19/2021,6:30:00 PM,0,0.2837,9.182
11/19/2021,6:40:00 PM,0,0.2909,9.133
11/19/2021,6:50:00 PM,0,0.2841,9.085
11/19/2021,7:00:00 PM,0,0.2869,9.036
11/19/2021,7:10:00 PM,0,0.2983,8.983
11/19/2021,7:20:00 PM,0,0.2913,8.933
11/19/2021,7:30:00 PM,0,0.2871,8.886
11/19/2021,7:40:00 PM,0,0.2885,8.838
11/19/2021,7:50:00 PM,0,0.2832,8.792
11/19/2021,8:00:00 PM,0,0.2885,8.747
11/19/2021,8:10:00 PM,0,0.2826,8.706
11/19/2021,8:20:00 PM,0,0.2944,8.663
11/19/2021,8:30:00 PM,0,0.2897,8.621
11/19/2021,8:40:00 PM,0,0.2878,8.58
11/19/2021,8:50:00 PM,0,0.2878,8.542
11/19/2021,9:00:00 PM,0,0.2912,8.505
11/19/2021,9:10:00 PM,0,0.2872,8.471
11/19/2021,9:20:00 PM,0,0.2912,8.433
11/19/2021,9:30:00 PM,0,0.2861,8.395
11/19/2021,9:40:00 PM,0,0.291,8.361
11/19/2021,9:50:00 PM,0,0.2908,8.327
11/19/2021,10:00:00 PM,0,0.2981,8.296
11/19/2021,10:10:00 PM,0,0.2908,8.26
11/19/2021,10:20:00 PM,0,0.2859,8.232
11/19/2021,10:30:00 PM,0,0.2892,8.204
11/19/2021,10:40:00 PM,0,0.2849,8.175
11/19/2021,10:50:00 PM,0,0.2875,8.146
11/19/2021,11:00:00 PM,0,0.2881,8.119
11/19/2021,11:10:00 PM,0,0.2806,8.092
11/19/2021,11:20:00 PM,0,0.2886,8.066
11/19/2021,11:30:00 PM,0,0.2837,8.031
11/19/2021,11:40:00 PM,0,0.2832,8.003
11/19/2021,11:50:00 PM,0,0.2849,7.983
11/20/2021,12:00:00 AM,0,0.2854,7.956
11/20/2021,12:10:00 AM,0,0.2887,7.926
11/20/2021,12:20:00 AM,0,0.2829,7.899
11/20/2021,12:30:00 AM,0,0.2787,7.872
11/20/2021,12:40:00 AM,0,0.2794,7.852
11/20/2021,12:50:00 AM,0,0.2806,7.832
11/20/2021,1:00:00 AM,0,0.2813,7.817
11/20/2021,1:10:00 AM,0,0.2825,7.791
11/20/2021,1:20:00 AM,0,0.2826,7.777
11/20/2021,1:30:00 AM,0,0.2784,7.753
11/20/2021,1:40:00 AM,0,0.2755,7.729
11/20/2021,1:50:00 AM,0,0.2811,7.71
11/20/2021,2:00:00 AM,0,0.2886,7.688
11/20/2021,2:10:00 AM,0,0.2789,7.671
11/20/2021,2:20:00 AM,0,0.2799,7.653
11/20/2021,2:30:00 AM,0,0.2799,7.631
11/20/2021,2:40:00 AM,0,0.2789,7.625
11/20/2021,2:50:00 AM,0,0.2805,7.61
11/20/2021,3:00:00 AM,0,0.2829,7.608
11/20/2021,3:10:00 AM,0,0.2837,7.601
11/20/2021,3:20:00 AM,0,0.2833,7.599
11/20/2021,3:30:00 AM,0,0.2868,7.594
11/20/2021,3:40:00 AM,0,0.2827,7.586
11/20/2021,3:50:00 AM,0,0.2826,7.579
11/20/2021,4:00:00 AM,0,0.2892,7.562
11/20/2021,4:10:00 AM,0,0.2826,7.561
11/20/2021,4:20:00 AM,0,0.277,7.543
11/20/2021,4:30:00 AM,0,0.2809,7.536
11/20/2021,4:40:00 AM,0,0.2806,7.535
11/20/2021,4:50:00 AM,0,0.2872,7.535
11/20/2021,5:00:00 AM,0,0.2826,7.532
11/20/2021,5:10:00 AM,0,0.2832,7.526
11/20/2021,5:20:00 AM,0,0.2806,7.531
11/20/2021,5:30:00 AM,0,0.2795,7.515
11/20/2021,5:40:00 AM,0,0.282,7.503
11/20/2021,5:50:00 AM,0,0.2771,7.494
11/20/2021,6:00:00 AM,0,0.2787,7.479
11/20/2021,6:10:00 AM,0,0.2789,7.469
11/20/2021,6:20:00 AM,0,0.2856,7.447
11/20/2021,6:30:00 AM,0,0.2758,7.426
11/20/2021,6:40:00 AM,0,0.2838,7.408
11/20/2021,6:50:00 AM,0,0.2803,7.391
11/20/2021,7:00:00 AM,0,0.2803,7.372
11/20/2021,7:10:00 AM,0,0.2775,7.368
11/20/2021,7:20:00 AM,0,0.2784,7.349
11/20/2021,7:30:00 AM,0,0.2825,7.328
11/20/2021,7:40:00 AM,0,0.2757,7.322
11/20/2021,7:50:00 AM,0,0.2838,7.308
11/20/2021,8:00:00 AM,0,0.279,7.298
11/20/2021,8:10:00 AM,0,0.284,7.293
11/20/2021,8:20:00 AM,0,0.2754,7.284
11/20/2021,8:30:00 AM,0,0.2781,7.275
11/20/2021,8:40:00 AM,0,0.2778,7.277
11/20/2021,8:50:00 AM,0,0.2774,7.277
11/20/2021,9:00:00 AM,0,0.2756,7.272
11/20/2021,9:10:00 AM,0,0.2799,7.272
11/20/2021,9:20:00 AM,0,0.2826,7.267
11/20/2021,9:30:00 AM,0,0.2776,7.27
11/20/2021,9:40:00 AM,0,0.2816,7.28
11/20/2021,9:50:00 AM,0,0.278,7.284
11/20/2021,10:00:00 AM,0,0.2795,7.288
11/20/2021,10:10:00 AM,0,0.2787,7.29
11/20/2021,10:20:00 AM,0,0.2774,7.291
11/20/2021,10:30:00 AM,0,0.2799,7.298
11/20/2021,10:40:00 AM,0,0.2736,7.309
11/20/2021,10:50:00 AM,0,0.2865,7.32
11/20/2021,11:00:00 AM,0,0.2827,7.339
11/20/2021,11:10:00 AM,0,0.2774,7.368
11/20/2021,11:20:00 AM,0,0.2757,7.395
11/20/2021,11:30:00 AM,0,0.2845,7.427
11/20/2021,11:40:00 AM,0,0.2809,7.474
11/20/2021,11:50:00 AM,0,0.281,7.527
11/20/2021,12:00:00 PM,0,0.287,7.575
11/20/2021,12:10:00 PM,0,0.2877,7.626
11/20/2021,12:20:00 PM,0,0.2832,7.689
11/20/2021,12:30:00 PM,0,0.2848,7.731
11/20/2021,12:40:00 PM,0,0.2831,7.785
11/20/2021,12:50:00 PM,0,0.288,7.842
11/20/2021,1:00:00 PM,0,0.2858,7.897
11/20/2021,1:10:00 PM,0,0.2888,7.949
11/20/2021,1:20:00 PM,0,0.2868,7.999
11/20/2021,1:30:00 PM,0,0.2802,8.038
11/20/2021,1:40:00 PM,0,0.2841,8.074
11/20/2021,1:50:00 PM,0,0.2816,8.116
11/20/2021,2:00:00 PM,0,0.282,8.145
11/20/2021,2:10:00 PM,0,0.2863,8.183
11/20/2021,2:20:00 PM,0,0.2799,8.207
11/20/2021,2:30:00 PM,0,0.2834,8.232
11/20/2021,2:40:00 PM,0,0.2801,8.258
11/20/2021,2:50:00 PM,0,0.2807,8.277
11/20/2021,3:00:00 PM,0,0.281,8.297
11/20/2021,3:10:00 PM,0,0.2844,8.315
11/20/2021,3:20:00 PM,0,0.2803,8.328
11/20/2021,3:30:00 PM,0,0.279,8.34
11/20/2021,3:40:00 PM,0,0.2816,8.347
11/20/2021,3:50:00 PM,0,0.2766,8.349
11/20/2021,4:00:00 PM,0,0.2762,8.35
11/20/2021,4:10:00 PM,0,0.2767,8.352
11/20/2021,4:20:00 PM,0,0.2788,8.356
11/20/2021,4:30:00 PM,0,0.2779,8.35
11/20/2021,4:40:00 PM,0,0.2758,8.347
11/20/2021,4:50:00 PM,0,0.2757,8.345
11/20/2021,5:00:00 PM,0,0.2746,8.337
11/20/2021,5:10:00 PM,0,0.2722,8.331
11/20/2021,5:20:00 PM,0,0.2721,8.319
11/20/2021,5:30:00 PM,0,0.2707,8.302
11/20/2021,5:40:00 PM,0,0.2721,8.287
11/20/2021,5:50:00 PM,0,0.2746,8.265
11/20/2021,6:00:00 PM,0,0.2651,8.245
