Serial_number:,,,,
2075482,,,,
Project ID:,,,,
,,,,
Location:,,,,
LL10 XS 28 Site#3,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
12/7/2021,11:20:00 AM,0,0.4039,9.389
12/7/2021,11:30:00 AM,0,0.3924,9.413
12/7/2021,11:40:00 AM,0,0.3822,9.434
12/7/2021,11:50:00 AM,0,0.379,9.458
12/7/2021,12:00:00 PM,0,0.3695,9.48
12/7/2021,12:10:00 PM,0,0.3604,9.501
12/7/2021,12:20:00 PM,0,0.3544,9.521
12/7/2021,12:30:00 PM,0,0.3476,9.544
12/7/2021,12:40:00 PM,0,0.3376,9.566
12/7/2021,12:50:00 PM,0,0.3335,9.587
12/7/2021,1:00:00 PM,0,0.3244,9.606
12/7/2021,1:10:00 PM,0,0.3158,9.622
12/7/2021,1:20:00 PM,0,0.3068,9.638
12/7/2021,1:30:00 PM,0,0.3015,9.654
12/7/2021,1:40:00 PM,0,0.291,9.668
12/7/2021,1:50:00 PM,0,0.2822,9.68
12/7/2021,2:00:00 PM,0,0.2751,9.693
12/7/2021,2:10:00 PM,0,0.269,9.703
12/7/2021,2:20:00 PM,0,0.2598,9.71
12/7/2021,2:30:00 PM,0,0.2619,9.719
12/7/2021,2:40:00 PM,0,0.2635,9.725
12/7/2021,2:50:00 PM,0,0.2602,9.729
12/7/2021,3:00:00 PM,0,0.2632,9.733
12/7/2021,3:10:00 PM,0,0.26,9.736
12/7/2021,3:20:00 PM,0,0.2621,9.739
12/7/2021,3:30:00 PM,0,0.2601,9.74
12/7/2021,3:40:00 PM,0,0.2619,9.74
12/7/2021,3:50:00 PM,0,0.2621,9.741
12/7/2021,4:00:00 PM,0,0.2632,9.741
12/7/2021,4:10:00 PM,0,0.2642,9.737
12/7/2021,4:20:00 PM,0,0.2626,9.735
12/7/2021,4:30:00 PM,0,0.2625,9.73
12/7/2021,4:40:00 PM,0,0.2645,9.726
12/7/2021,4:50:00 PM,0,0.2641,9.721
12/7/2021,5:00:00 PM,0,0.2634,9.714
12/7/2021,5:10:00 PM,0,0.262,9.709
12/7/2021,5:20:00 PM,0,0.2663,9.703
12/7/2021,5:30:00 PM,0,0.2651,9.696
