Serial_number:,,,,
2075482,,,,
Project ID:,,,,
,,,,
Location:,,,,
LL10 XS 28 Site#3,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
3/11/2022,9:00:00 AM,0,0.2423,5.674
3/11/2022,9:10:00 AM,0,0.243,5.738
3/11/2022,9:20:00 AM,0,0.241,5.786
3/11/2022,9:30:00 AM,0,0.2395,5.822
3/11/2022,9:40:00 AM,0,0.2391,5.851
3/11/2022,9:50:00 AM,0,0.2376,5.876
3/11/2022,10:00:00 AM,0,0.2358,5.915
3/11/2022,10:10:00 AM,0,0.233,5.895
3/11/2022,10:20:00 AM,0,0.2305,5.976
3/11/2022,10:30:00 AM,0,0.2281,6
3/11/2022,10:40:00 AM,0,0.2253,6.033
3/11/2022,10:50:00 AM,0,0.2235,6.129
3/11/2022,11:00:00 AM,0,0.222,6.193
3/11/2022,11:10:00 AM,0,0.2207,6.274
3/11/2022,11:20:00 AM,0,0.2192,6.335
3/11/2022,11:30:00 AM,0,0.2167,6.417
3/11/2022,11:40:00 AM,0,0.2142,6.48
3/11/2022,11:50:00 AM,0,0.2141,6.544
3/11/2022,12:00:00 PM,0,0.2129,6.612
3/11/2022,12:10:00 PM,0,0.215,6.684
3/11/2022,12:20:00 PM,0,0.2142,6.749
3/11/2022,12:30:00 PM,0,0.2137,6.823
3/11/2022,12:40:00 PM,0,0.2132,6.902
3/11/2022,12:50:00 PM,0,0.213,6.98
3/11/2022,1:00:00 PM,0,0.2132,7.058
3/11/2022,1:10:00 PM,0,0.2133,7.134
3/11/2022,1:20:00 PM,0,0.212,7.21
3/11/2022,1:30:00 PM,0,0.213,7.285
3/11/2022,1:40:00 PM,0,0.2146,7.353
3/11/2022,1:50:00 PM,0,0.2127,7.419
3/11/2022,2:00:00 PM,0,0.2104,7.486
3/11/2022,2:10:00 PM,0,0.21,7.554
3/11/2022,2:20:00 PM,0,0.2114,7.625
3/11/2022,2:30:00 PM,0,0.2112,7.697
3/11/2022,2:40:00 PM,0,0.2099,7.773
3/11/2022,2:50:00 PM,0,0.2105,7.846
3/11/2022,3:00:00 PM,0,0.2139,7.914
3/11/2022,3:10:00 PM,0,0.2136,7.977
3/11/2022,3:20:00 PM,0,0.2119,8.031
3/11/2022,3:30:00 PM,0,0.2112,8.078
3/11/2022,3:40:00 PM,0,0.2116,8.118
3/11/2022,3:50:00 PM,0,0.2095,8.147
3/11/2022,4:00:00 PM,0,0.2102,8.168
3/11/2022,4:10:00 PM,0,0.2085,8.18
3/11/2022,4:20:00 PM,0,0.2077,8.185
3/11/2022,4:30:00 PM,0,0.207,8.181
3/11/2022,4:40:00 PM,0,0.2066,8.176
3/11/2022,4:50:00 PM,0,0.2054,8.166
3/11/2022,5:00:00 PM,0,0.2055,8.151
3/11/2022,5:10:00 PM,0,0.2045,8.134
3/11/2022,5:20:00 PM,0,0.2039,8.115
3/11/2022,5:30:00 PM,0,0.2035,8.095
3/11/2022,5:40:00 PM,0,0.2033,8.072
3/11/2022,5:50:00 PM,0,0.2026,8.049
3/11/2022,6:00:00 PM,0,0.2022,8.025
3/11/2022,6:10:00 PM,0,0.202,7.998
3/11/2022,6:20:00 PM,0,0.2015,7.968
3/11/2022,6:30:00 PM,0,0.2003,7.936
3/11/2022,6:40:00 PM,0,0.2001,7.901
3/11/2022,6:50:00 PM,0,0.1994,7.862
3/11/2022,7:00:00 PM,0,0.1991,7.821
3/11/2022,7:10:00 PM,0,0.199,7.777
3/11/2022,7:20:00 PM,0,0.1975,7.735
3/11/2022,7:30:00 PM,0,0.198,7.689
3/11/2022,7:40:00 PM,0,0.1978,7.64
3/11/2022,7:50:00 PM,0,0.1967,7.587
3/11/2022,8:00:00 PM,0,0.1968,7.543
3/11/2022,8:10:00 PM,0,0.1965,7.503
3/11/2022,8:20:00 PM,0,0.1965,7.459
3/11/2022,8:30:00 PM,0,0.1955,7.414
3/11/2022,8:40:00 PM,0,0.1954,7.37
3/11/2022,8:50:00 PM,0,0.195,7.328
3/11/2022,9:00:00 PM,0,0.1943,7.285
3/11/2022,9:10:00 PM,0,0.1946,7.243
3/11/2022,9:20:00 PM,0,0.1937,7.203
3/11/2022,9:30:00 PM,0,0.1929,7.161
3/11/2022,9:40:00 PM,0,0.1928,7.115
3/11/2022,9:50:00 PM,0,0.1934,7.076
3/11/2022,10:00:00 PM,0,0.1929,7.032
3/11/2022,10:10:00 PM,0,0.1918,6.989
3/11/2022,10:20:00 PM,0,0.1927,6.947
3/11/2022,10:30:00 PM,0,0.1921,6.897
3/11/2022,10:40:00 PM,0,0.1916,6.854
3/11/2022,10:50:00 PM,0,0.1919,6.813
3/11/2022,11:00:00 PM,0,0.1911,6.751
3/11/2022,11:10:00 PM,0,0.1911,6.716
3/11/2022,11:20:00 PM,0,0.1907,6.688
3/11/2022,11:30:00 PM,0,0.1905,6.661
3/11/2022,11:40:00 PM,0,0.1901,6.635
3/11/2022,11:50:00 PM,0,0.1902,6.6
3/12/2022,12:00:00 AM,0,0.1902,6.576
3/12/2022,12:10:00 AM,0,0.1902,6.535
3/12/2022,12:20:00 AM,0,0.1901,6.494
