Serial_number:,,,,
2117754,,,,
Project ID:,,,,
,,,,
Location:,,,,
LL 2 XS 5 Site #3,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
11/19/2021,1:10:00 PM,0,0.1879,9.945
11/19/2021,1:20:00 PM,0,0.1884,9.739
11/19/2021,1:30:00 PM,0,0.1879,9.743
11/19/2021,1:40:00 PM,0,0.1916,9.745
11/19/2021,1:50:00 PM,0,0.1901,9.749
11/19/2021,2:00:00 PM,0,0.1904,9.756
11/19/2021,2:10:00 PM,0,0.1907,9.764
11/19/2021,2:20:00 PM,0,0.1894,9.769
11/19/2021,2:30:00 PM,0,0.1877,9.776
11/19/2021,2:40:00 PM,0,0.19,9.785
11/19/2021,2:50:00 PM,0,0.1894,9.79
11/19/2021,3:00:00 PM,0,0.1884,9.788
11/19/2021,3:10:00 PM,0,0.1888,9.784
11/19/2021,3:20:00 PM,0,0.1866,9.777
11/19/2021,3:30:00 PM,0,0.1853,9.765
11/19/2021,3:40:00 PM,0,0.1852,9.751
11/19/2021,3:50:00 PM,0,0.1874,9.733
11/19/2021,4:00:00 PM,0,0.1881,9.712
11/19/2021,4:10:00 PM,0,0.1873,9.69
11/19/2021,4:20:00 PM,0,0.185,9.668
11/19/2021,4:30:00 PM,0,0.1846,9.644
11/19/2021,4:40:00 PM,0,0.1854,9.616
11/19/2021,4:50:00 PM,0,0.1833,9.584
11/19/2021,5:00:00 PM,0,0.1854,9.551
11/19/2021,5:10:00 PM,0,0.1844,9.516
11/19/2021,5:20:00 PM,0,0.1825,9.481
11/19/2021,5:30:00 PM,0,0.1824,9.444
11/19/2021,5:40:00 PM,0,0.1799,9.405
11/19/2021,5:50:00 PM,0,0.1797,9.364
11/19/2021,6:00:00 PM,0,0.1812,9.321
11/19/2021,6:10:00 PM,0,0.18,9.279
11/19/2021,6:20:00 PM,0,0.1799,9.235
11/19/2021,6:30:00 PM,0,0.1791,9.19
11/19/2021,6:40:00 PM,0,0.179,9.143
11/19/2021,6:50:00 PM,0,0.1783,9.095
11/19/2021,7:00:00 PM,0,0.179,9.045
11/19/2021,7:10:00 PM,0,0.179,8.997
11/19/2021,7:20:00 PM,0,0.1766,8.949
11/19/2021,7:30:00 PM,0,0.1763,8.9
11/19/2021,7:40:00 PM,0,0.1796,8.854
11/19/2021,7:50:00 PM,0,0.1748,8.81
11/19/2021,8:00:00 PM,0,0.1796,8.766
11/19/2021,8:10:00 PM,0,0.1753,8.724
11/19/2021,8:20:00 PM,0,0.1754,8.684
11/19/2021,8:30:00 PM,0,0.1736,8.643
11/19/2021,8:40:00 PM,0,0.1778,8.605
11/19/2021,8:50:00 PM,0,0.1752,8.57
11/19/2021,9:00:00 PM,0,0.1744,8.535
11/19/2021,9:10:00 PM,0,0.1751,8.501
11/19/2021,9:20:00 PM,0,0.1735,8.467
11/19/2021,9:30:00 PM,0,0.1731,8.434
11/19/2021,9:40:00 PM,0,0.1737,8.398
11/19/2021,9:50:00 PM,0,0.1718,8.365
11/19/2021,10:00:00 PM,0,0.174,8.332
11/19/2021,10:10:00 PM,0,0.1753,8.301
11/19/2021,10:20:00 PM,0,0.1713,8.271
11/19/2021,10:30:00 PM,0,0.1732,8.238
11/19/2021,10:40:00 PM,0,0.172,8.207
11/19/2021,10:50:00 PM,0,0.1688,8.178
11/19/2021,11:00:00 PM,0,0.173,8.15
11/19/2021,11:10:00 PM,0,0.1705,8.122
11/19/2021,11:20:00 PM,0,0.1702,8.095
11/19/2021,11:30:00 PM,0,0.1717,8.07
11/19/2021,11:40:00 PM,0,0.1738,8.046
11/19/2021,11:50:00 PM,0,0.1677,8.022
11/20/2021,12:00:00 AM,0,0.1725,7.998
11/20/2021,12:10:00 AM,0,0.171,7.973
11/20/2021,12:20:00 AM,0,0.1681,7.948
11/20/2021,12:30:00 AM,0,0.171,7.924
11/20/2021,12:40:00 AM,0,0.1723,7.903
11/20/2021,12:50:00 AM,0,0.1704,7.884
11/20/2021,1:00:00 AM,0,0.1712,7.864
11/20/2021,1:10:00 AM,0,0.1691,7.842
11/20/2021,1:20:00 AM,0,0.1707,7.82
11/20/2021,1:30:00 AM,0,0.1711,7.8
11/20/2021,1:40:00 AM,0,0.1695,7.778
11/20/2021,1:50:00 AM,0,0.1682,7.758
11/20/2021,2:00:00 AM,0,0.1696,7.738
11/20/2021,2:10:00 AM,0,0.1702,7.718
11/20/2021,2:20:00 AM,0,0.1682,7.698
11/20/2021,2:30:00 AM,0,0.1694,7.681
11/20/2021,2:40:00 AM,0,0.1678,7.669
11/20/2021,2:50:00 AM,0,0.1691,7.66
11/20/2021,3:00:00 AM,0,0.1707,7.656
11/20/2021,3:10:00 AM,0,0.1663,7.652
11/20/2021,3:20:00 AM,0,0.1691,7.648
11/20/2021,3:30:00 AM,0,0.1671,7.643
11/20/2021,3:40:00 AM,0,0.1698,7.633
11/20/2021,3:50:00 AM,0,0.1668,7.622
11/20/2021,4:00:00 AM,0,0.1693,7.612
11/20/2021,4:10:00 AM,0,0.1681,7.603
11/20/2021,4:20:00 AM,0,0.1683,7.595
11/20/2021,4:30:00 AM,0,0.1669,7.591
11/20/2021,4:40:00 AM,0,0.1662,7.589
11/20/2021,4:50:00 AM,0,0.1677,7.589
11/20/2021,5:00:00 AM,0,0.1659,7.588
11/20/2021,5:10:00 AM,0,0.1674,7.584
11/20/2021,5:20:00 AM,0,0.1685,7.577
11/20/2021,5:30:00 AM,0,0.1667,7.566
11/20/2021,5:40:00 AM,0,0.167,7.55
11/20/2021,5:50:00 AM,0,0.1659,7.536
11/20/2021,6:00:00 AM,0,0.1662,7.521
11/20/2021,6:10:00 AM,0,0.166,7.504
11/20/2021,6:20:00 AM,0,0.163,7.488
11/20/2021,6:30:00 AM,0,0.1636,7.472
11/20/2021,6:40:00 AM,0,0.1667,7.451
11/20/2021,6:50:00 AM,0,0.1642,7.434
11/20/2021,7:00:00 AM,0,0.165,7.419
11/20/2021,7:10:00 AM,0,0.1659,7.404
11/20/2021,7:20:00 AM,0,0.1647,7.39
11/20/2021,7:30:00 AM,0,0.1676,7.379
11/20/2021,7:40:00 AM,0,0.1629,7.368
11/20/2021,7:50:00 AM,0,0.1641,7.357
11/20/2021,8:00:00 AM,0,0.1648,7.349
11/20/2021,8:10:00 AM,0,0.1634,7.342
11/20/2021,8:20:00 AM,0,0.1654,7.335
11/20/2021,8:30:00 AM,0,0.1635,7.331
11/20/2021,8:40:00 AM,0,0.1652,7.326
11/20/2021,8:50:00 AM,0,0.1646,7.324
11/20/2021,9:00:00 AM,0,0.1637,7.325
11/20/2021,9:10:00 AM,0,0.165,7.326
11/20/2021,9:20:00 AM,0,0.1639,7.329
11/20/2021,9:30:00 AM,0,0.1665,7.334
11/20/2021,9:40:00 AM,0,0.1658,7.338
11/20/2021,9:50:00 AM,0,0.1668,7.342
11/20/2021,10:00:00 AM,0,0.1632,7.345
11/20/2021,10:10:00 AM,0,0.1647,7.349
11/20/2021,10:20:00 AM,0,0.1673,7.354
11/20/2021,10:30:00 AM,0,0.1664,7.362
11/20/2021,10:40:00 AM,0,0.1651,7.377
11/20/2021,10:50:00 AM,0,0.1661,7.391
11/20/2021,11:00:00 AM,0,0.1668,7.412
11/20/2021,11:10:00 AM,0,0.1669,7.431
11/20/2021,11:20:00 AM,0,0.169,7.465
11/20/2021,11:30:00 AM,0,0.1684,7.502
11/20/2021,11:40:00 AM,0,0.1703,7.548
11/20/2021,11:50:00 AM,0,0.1706,7.604
11/20/2021,12:00:00 PM,0,0.1726,7.661
11/20/2021,12:10:00 PM,0,0.1715,7.716
11/20/2021,12:20:00 PM,0,0.1732,7.771
11/20/2021,12:30:00 PM,0,0.1771,7.826
11/20/2021,12:40:00 PM,0,0.1754,7.881
11/20/2021,12:50:00 PM,0,0.1756,7.937
11/20/2021,1:00:00 PM,0,0.1743,7.987
11/20/2021,1:10:00 PM,0,0.1761,8.035
11/20/2021,1:20:00 PM,0,0.174,8.081
11/20/2021,1:30:00 PM,0,0.1723,8.122
11/20/2021,1:40:00 PM,0,0.1732,8.158
11/20/2021,1:50:00 PM,0,0.1719,8.189
11/20/2021,2:00:00 PM,0,0.172,8.22
11/20/2021,2:10:00 PM,0,0.1709,8.247
11/20/2021,2:20:00 PM,0,0.1714,8.276
11/20/2021,2:30:00 PM,0,0.1711,8.3
11/20/2021,2:40:00 PM,0,0.1707,8.323
11/20/2021,2:50:00 PM,0,0.1715,8.344
11/20/2021,3:00:00 PM,0,0.1696,8.362
11/20/2021,3:10:00 PM,0,0.1701,8.376
11/20/2021,3:20:00 PM,0,0.1691,8.387
11/20/2021,3:30:00 PM,0,0.1693,8.394
11/20/2021,3:40:00 PM,0,0.1694,8.398
11/20/2021,3:50:00 PM,0,0.169,8.401
11/20/2021,4:00:00 PM,0,0.1692,8.403
11/20/2021,4:10:00 PM,0,0.1699,8.403
11/20/2021,4:20:00 PM,0,0.1681,8.402
11/20/2021,4:30:00 PM,0,0.1688,8.401
11/20/2021,4:40:00 PM,0,0.168,8.395
11/20/2021,4:50:00 PM,0,0.1659,8.387
11/20/2021,5:00:00 PM,0,0.1663,8.378
11/20/2021,5:10:00 PM,0,0.1652,8.368
11/20/2021,5:20:00 PM,0,0.1641,8.354
11/20/2021,5:30:00 PM,0,0.1636,8.337
11/20/2021,5:40:00 PM,0,0.1624,8.317
11/20/2021,5:50:00 PM,0,0.1629,8.293
11/20/2021,6:00:00 PM,0,0.162,8.268
11/20/2021,6:10:00 PM,0,0.1605,8.242
11/20/2021,6:20:00 PM,0,0.1645,8.212
11/20/2021,6:30:00 PM,0,0.1633,8.184
11/20/2021,6:40:00 PM,0,0.1609,8.153
11/20/2021,6:50:00 PM,0,0.1613,8.122
11/20/2021,7:00:00 PM,0,0.1587,8.092
11/20/2021,7:10:00 PM,0,0.1598,8.06
11/20/2021,7:20:00 PM,0,0.1621,8.032
11/20/2021,7:30:00 PM,0,0.1608,8.005
11/20/2021,7:40:00 PM,0,0.1573,7.98
11/20/2021,7:50:00 PM,0,0.1592,7.955
11/20/2021,8:00:00 PM,0,0.1632,7.929
11/20/2021,8:10:00 PM,0,0.1594,7.901
11/20/2021,8:20:00 PM,0,0.1606,7.875
11/20/2021,8:30:00 PM,0,0.1613,7.848
11/20/2021,8:40:00 PM,0,0.1574,7.821
11/20/2021,8:50:00 PM,0,0.159,7.793
11/20/2021,9:00:00 PM,0,0.1597,7.767
11/20/2021,9:10:00 PM,0,0.1598,7.743
11/20/2021,9:20:00 PM,0,0.1574,7.72
11/20/2021,9:30:00 PM,0,0.1596,7.696
11/20/2021,9:40:00 PM,0,0.1576,7.672
11/20/2021,9:50:00 PM,0,0.1574,7.648
11/20/2021,10:00:00 PM,0,0.1555,7.625
11/20/2021,10:10:00 PM,0,0.1608,7.604
11/20/2021,10:20:00 PM,0,0.1572,7.582
11/20/2021,10:30:00 PM,0,0.16,7.559
11/20/2021,10:40:00 PM,0,0.1579,7.536
11/20/2021,10:50:00 PM,0,0.156,7.512
11/20/2021,11:00:00 PM,0,0.1583,7.487
11/20/2021,11:10:00 PM,0,0.157,7.465
11/20/2021,11:20:00 PM,0,0.156,7.444
11/20/2021,11:30:00 PM,0,0.156,7.423
11/20/2021,11:40:00 PM,0,0.157,7.405
11/20/2021,11:50:00 PM,0,0.1578,7.386
11/21/2021,12:00:00 AM,0,0.1549,7.368
11/21/2021,12:10:00 AM,0,0.1573,7.351
11/21/2021,12:20:00 AM,0,0.1538,7.333
11/21/2021,12:30:00 AM,0,0.1541,7.316
11/21/2021,12:40:00 AM,0,0.1548,7.299
11/21/2021,12:50:00 AM,0,0.1541,7.283
11/21/2021,1:00:00 AM,0,0.1545,7.27
11/21/2021,1:10:00 AM,0,0.1547,7.254
11/21/2021,1:20:00 AM,0,0.157,7.237
11/21/2021,1:30:00 AM,0,0.1558,7.224
11/21/2021,1:40:00 AM,0,0.1532,7.209
11/21/2021,1:50:00 AM,0,0.1535,7.195
11/21/2021,2:00:00 AM,0,0.1574,7.181
11/21/2021,2:10:00 AM,0,0.1552,7.17
11/21/2021,2:20:00 AM,0,0.1537,7.158
11/21/2021,2:30:00 AM,0,0.1538,7.146
11/21/2021,2:40:00 AM,0,0.1543,7.135
11/21/2021,2:50:00 AM,0,0.1556,7.123
11/21/2021,3:00:00 AM,0,0.1547,7.113
11/21/2021,3:10:00 AM,0,0.155,7.103
11/21/2021,3:20:00 AM,0,0.1546,7.094
11/21/2021,3:30:00 AM,0,0.1532,7.085
11/21/2021,3:40:00 AM,0,0.1563,7.078
11/21/2021,3:50:00 AM,0,0.1551,7.073
11/21/2021,4:00:00 AM,0,0.1546,7.07
11/21/2021,4:10:00 AM,0,0.154,7.067
11/21/2021,4:20:00 AM,0,0.1557,7.063
11/21/2021,4:30:00 AM,0,0.1539,7.057
11/21/2021,4:40:00 AM,0,0.1532,7.052
11/21/2021,4:50:00 AM,0,0.1525,7.046
11/21/2021,5:00:00 AM,0,0.1567,7.042
11/21/2021,5:10:00 AM,0,0.1531,7.034
11/21/2021,5:20:00 AM,0,0.1532,7.027
11/21/2021,5:30:00 AM,0,0.155,7.021
11/21/2021,5:40:00 AM,0,0.155,7.016
11/21/2021,5:50:00 AM,0,0.1512,7.009
11/21/2021,6:00:00 AM,0,0.154,7.002
11/21/2021,6:10:00 AM,0,0.1514,6.993
11/21/2021,6:20:00 AM,0,0.1535,6.987
11/21/2021,6:30:00 AM,0,0.151,6.982
11/21/2021,6:40:00 AM,0,0.1545,6.975
