asset,station,elevation
channel,7.5508,1000.5631
channel,7.8652,1000.5809
channel,9.4678,1000.4707
channel,10.2517,999.7587
channel,10.6957,999.2389
channel,10.9128,999.167254
channel,11.3957,999.1927
channel,11.7048,999.2215
channel,12.2537,999.3447
channel,12.7496,999.3736
channel,13.0893,999.4334
channel,13.3315,999.5509
channel,13.7235,999.7378
channel,13.839,999.8047
channel,14.0938,999.8457
channel,14.548,999.9371
channel,14.8085,999.957
channel,15.399,1000.1558
channel,15.827,1000.178148
channel,16.4727,1000.17403
channel,16.9476,1000.1009
channel,17.248,1000.115
channel,17.606,1000.2171
channel,17.6348,1000.3599
channel,17.7843,1000.3578
channel,18.9662,1000.17737
channel,23.3776,1000.76216
