id,centerline,distance,angle,profile_id,profile_no,dist_upstr,logger
1,,1,22.81332211,LL1-2_0,0,0,LL1
2,,1.25,22.81332211,LL1-2_1,1,0.25,none
3,,1.5,22.81332211,LL1-2_2,2,0.5,none
4,,1.75,22.81332211,LL1-2_3,3,0.75,none
5,,2,22.81332211,LL1-2_4,4,1,none
6,,2.25,22.81332211,LL1-2_5,5,1.25,none
7,,2.5,22.81332211,LL1-2_6,6,1.5,none
8,,2.75,22.81332211,LL1-2_7,7,1.75,none
9,,3,22.81332211,LL1-2_8,8,2,none
10,,3.25,22.81332211,LL1-2_9,9,2.25,none
11,,3.5,22.81332211,LL1-2_10,10,2.5,none
12,,3.75,22.81332211,LL1-2_11,11,2.75,RB1
13,,4,22.81332211,LL1-2_12,12,3,none
14,,4.25,23.30120971,LL1-2_13,13,3.25,none
15,,4.5,23.30120971,LL1-2_14,14,3.5,none
16,,4.75,23.30120971,LL1-2_15,15,3.75,none
17,,5,23.30120971,LL1-2_16,16,4,none
18,,5.25,23.30120971,LL1-2_17,17,4.25,none
19,,5.5,23.30120971,LL1-2_18,18,4.5,none
20,,5.75,23.30120971,LL1-2_19,19,4.75,none
21,,6,23.30120971,LL1-2_20,20,5,none
22,,6.25,23.30120971,LL1-2_21,21,5.25,none
23,,6.5,24.1022345,LL1-2_22,22,5.5,none
24,,6.75,24.1022345,LL1-2_23,23,5.75,none
25,,7,24.1022345,LL1-2_24,24,6,none
26,,7.25,24.1022345,LL1-2_25,25,6.25,none
27,,7.5,24.1022345,LL1-2_26,26,6.5,none
28,,7.75,24.1022345,LL1-2_27,27,6.75,none
29,,8,24.1022345,LL1-2_28,28,7,none
30,,8.25,24.84238911,LL1-2_29,29,7.25,none
31,,8.5,24.84238911,LL1-2_30,30,7.5,none
32,,8.75,24.84238911,LL1-2_31,31,7.75,none
33,,9,24.84238911,LL1-2_32,32,8,none
34,,9.25,24.84238911,LL1-2_33,33,8.25,none
35,,9.5,24.84238911,LL1-2_34,34,8.5,none
36,,9.75,25.65926452,LL1-2_35,35,8.75,RB2
37,,10,25.65926452,LL1-2_36,36,9,none
38,,10.25,25.65926452,LL1-2_37,37,9.25,none
39,,10.5,25.65926452,LL1-2_38,38,9.5,none
40,,10.75,25.65926452,LL1-2_39,39,9.75,none
41,,11,25.65926452,LL1-2_40,40,10,none
42,,11.25,26.13564759,LL1-2_41,41,10.25,none
43,,11.5,26.13564759,LL1-2_42,42,10.5,none
44,,11.75,26.13564759,LL1-2_43,43,10.75,none
45,,12,26.13564759,LL1-2_44,44,11,none
46,,12.25,26.13564759,LL1-2_45,45,11.25,none
47,,12.5,26.13564759,LL1-2_46,46,11.5,none
48,,12.75,26.69891958,LL1-2_47,47,11.75,RB3
49,,13,26.69891958,LL1-2_48,48,12,none
50,,13.25,26.69891958,LL1-2_49,49,12.25,none
51,,13.5,26.69891958,LL1-2_50,50,12.5,none
52,,13.75,26.69891958,LL1-2_51,51,12.75,none
53,,14,27.37509177,LL1-2_52,52,13,none
54,,14.25,27.37509177,LL1-2_53,53,13.25,none
55,,14.5,27.37509177,LL1-2_54,54,13.5,none
56,,14.75,27.37509177,LL1-2_55,55,13.75,none
57,,15,28.20162822,LL1-2_56,56,14,none
58,,15.25,28.20162822,LL1-2_57,57,14.25,none
59,,15.5,28.20162822,LL1-2_58,58,14.5,none
60,,15.75,28.20162822,LL1-2_59,59,14.75,none
61,,16,28.20162822,LL1-2_60,60,15,none
62,,16.25,24.84825297,LL2-3_0,0,15.25,LL2
63,,16.5,24.84825297,LL2-3_1,1,15.5,none
64,,16.75,24.84825297,LL2-3_2,2,15.75,none
65,,17,24.84825297,LL2-3_3,3,16,none
66,,17.25,21.80140949,LL2-3_4,4,16.25,none
67,,17.5,21.80140949,LL2-3_5,5,16.5,none
68,,17.75,21.80140949,LL2-3_6,6,16.75,none
69,,18,21.80140949,LL2-3_7,7,17,none
70,,18.25,21.80140949,LL2-3_8,8,17.25,none
71,,18.5,19.03593146,LL2-3_9,9,17.5,none
72,,18.75,19.03593146,LL2-3_10,10,17.75,none
73,,19,19.03593146,LL2-3_11,11,18,none
74,,19.25,19.03593146,LL2-3_12,12,18.25,none
75,,19.5,16.52579639,LL2-3_13,13,18.5,none
76,,19.75,16.52579639,LL2-3_14,14,18.75,none
77,,20,16.52579639,LL2-3_15,15,19,none
78,,20.25,16.52579639,LL2-3_16,16,19.25,none
79,,20.5,16.52579639,LL2-3_17,17,19.5,none
80,,20.75,16.52579639,LL2-3_18,18,19.75,RB4
81,,21,15.70382831,LL2-3_19,19,20,none
82,,21.25,15.70382831,LL2-3_20,20,20.25,none
83,,21.5,15.70382831,LL2-3_21,21,20.5,none
84,,21.75,15.70382831,LL2-3_22,22,20.75,none
85,,22,14.77816173,LL2-3_23,23,21,none
86,,22.25,14.77816173,LL2-3_24,24,21.25,none
87,,22.5,14.77816173,LL2-3_25,25,21.5,none
88,,22.75,14.77816173,LL2-3_26,26,21.75,none
89,,23,14.77816173,LL2-3_27,27,22,none
90,,23.25,13.72844101,LL2-3_28,28,22.25,none
91,,23.5,13.72844101,LL2-3_29,29,22.5,none
92,,23.75,13.72844101,LL2-3_30,30,22.75,none
93,,24,13.72844101,LL2-3_31,31,23,none
94,,24.25,12.52880771,LL2-3_32,32,23.25,none
95,,24.5,12.52880771,LL2-3_33,33,23.5,none
96,,24.75,12.52880771,LL2-3_34,34,23.75,none
97,,25,12.52880771,LL2-3_35,35,24,none
98,,25.25,11.68224638,LL3-4_0,0,24.25,LL3
99,,25.5,11.68224638,LL3-4_1,1,24.5,none
100,,25.75,11.68224638,LL3-4_2,2,24.75,none
101,,26,11.68224638,LL3-4_3,3,25,none
102,,26.25,10.67635568,LL3-4_4,4,25.25,none
103,,26.5,10.67635568,LL3-4_5,5,25.5,none
104,,26.75,10.67635568,LL3-4_6,6,25.75,none
105,,27,9.462322208,LL3-4_7,7,26,none
106,,27.25,9.462322208,LL3-4_8,8,26.25,none
107,,27.5,9.462322208,LL3-4_9,9,26.5,none
108,,27.75,7.969610394,LL3-4_10,10,26.75,none
109,,28,7.969610394,LL3-4_11,11,27,none
110,,28.25,7.969610394,LL3-4_12,12,27.25,none
111,,28.5,3.557851866,LL3-4_13,13,27.5,none
112,,28.75,3.557851866,LL3-4_14,14,27.75,none
113,,29,358.7680226,LL3-4_15,15,28,RB5
114,,29.25,358.7680226,LL3-4_16,16,28.25,none
115,,29.5,358.7680226,LL3-4_17,17,28.5,none
116,,29.75,353.624679,LL3-4_18,18,28.75,none
117,,30,353.624679,LL3-4_19,19,29,none
118,,30.25,348.1785117,LL3-4_20,20,29.25,none
119,,30.5,348.1785117,LL3-4_21,21,29.5,none
120,,30.75,348.1785117,LL3-4_22,22,29.75,none
121,,31,341.4583552,LL3-4_23,23,30,none
122,,31.25,341.4583552,LL3-4_24,24,30.25,none
123,,31.5,334.3589942,LL3-4_25,25,30.5,none
124,,31.75,334.3589942,LL3-4_26,26,30.75,none
125,,32,327.0776692,LL3-4_27,27,31,none
126,,32.25,327.0776692,LL3-4_28,28,31.25,none
127,,32.5,319.8440004,LL3-4_29,29,31.5,none
128,,32.75,319.8440004,LL3-4_30,30,31.75,none
129,,33,319.8440004,LL3-4_31,31,32,none
130,,33.25,312.6888685,LL3-4_32,32,32.25,none
131,,33.5,312.6888685,LL3-4_33,33,32.5,none
132,,33.75,304.7431802,LL3-4_34,34,32.75,none
133,,34,304.7431802,LL3-4_35,35,33,none
134,,34.25,296.2167529,LL3-4_36,36,33.25,none
135,,34.5,296.2167529,LL3-4_37,37,33.5,RB6
136,,34.75,287.4471884,LL3-4_38,38,33.75,none
137,,35,287.4471884,LL3-4_39,39,34,none
138,,35.25,272.2394759,LL3-4_40,40,34.25,none
139,,35.5,272.2394759,LL3-4_41,41,34.5,none
140,,35.75,262.1644749,LL3-4_42,42,34.75,none
141,,36,262.1644749,LL3-4_43,43,35,none
142,,36.25,262.1644749,LL3-4_44,44,35.25,none
143,,36.5,255.3882019,LL3-4_45,45,35.5,none
144,,36.75,255.3882019,LL3-4_46,46,35.75,none
145,,37,255.3882019,LL3-4_47,47,36,none
146,,37.25,255.3882019,LL3-4_48,48,36.25,RB7
147,,37.5,250.6410058,LL3-4_49,49,36.5,none
148,,37.75,250.6410058,LL3-4_50,50,36.75,none
149,,38,250.6410058,LL3-4_51,51,37,none
150,,38.25,250.6410058,LL3-4_52,52,37.25,none
151,,38.5,254.3650071,LL3-4_53,53,37.5,none
152,,38.75,254.3650071,LL3-4_54,54,37.75,none
153,,39,254.3650071,LL3-4_55,55,38,none
154,,39.25,254.3650071,LL3-4_56,56,38.25,none
155,,39.5,258.3106308,LL3-4_57,57,38.5,none
156,,39.75,258.3106308,LL3-4_58,58,38.75,none
157,,40,258.3106308,LL3-4_59,59,39,none
158,,40.25,258.3106308,LL3-4_60,60,39.25,none
159,,40.5,262.4576696,LL3-4_61,61,39.5,none
160,,40.75,262.4576696,LL3-4_62,62,39.75,none
161,,41,262.4576696,LL3-4_63,63,40,none
162,,41.25,262.4576696,LL3-4_64,64,40.25,none
163,,41.5,266.7754774,LL3-4_65,65,40.5,none
164,,41.75,266.7754774,LL3-4_66,66,40.75,none
165,,42,266.7754774,LL3-4_67,67,41,RB8
166,,42.25,273.3781227,LL3-4_68,68,41.25,none
167,,42.5,273.3781227,LL3-4_69,69,41.5,none
168,,42.75,273.3781227,LL3-4_70,70,41.75,none
169,,43,273.3781227,LL3-4_71,71,42,none
170,,43.25,279.7166858,LL4-5_0,0,42.25,LL4
171,,43.5,279.7166858,LL4-5_1,1,42.5,none
172,,43.75,279.7166858,LL4-5_2,2,42.75,none
173,,44,279.7166858,LL4-5_3,3,43,none
174,,44.25,285.6637835,LL4-5_4,4,43.25,none
175,,44.5,285.6637835,LL4-5_5,5,43.5,none
176,,44.75,285.6637835,LL4-5_6,6,43.75,none
177,,45,285.6637835,LL4-5_7,7,44,none
178,,45.25,291.1398248,LL4-5_8,8,44.25,none
179,,45.5,291.1398248,LL4-5_9,9,44.5,RB9
180,,45.75,291.1398248,LL4-5_10,10,44.75,none
181,,46,291.1398248,LL4-5_11,11,45,none
182,,46.25,291.1398248,LL4-5_12,12,45.25,none
183,,46.5,292.4726594,LL4-5_13,13,45.5,none
184,,46.75,292.4726594,LL4-5_14,14,45.75,none
185,,47,292.4726594,LL4-5_15,15,46,none
186,,47.25,294.4439548,LL4-5_16,16,46.25,none
187,,47.5,294.4439548,LL4-5_17,17,46.5,none
188,,47.75,294.4439548,LL4-5_18,18,46.75,none
189,,48,297.6459754,LL4-5_19,19,47,none
190,,48.25,297.6459754,LL4-5_20,20,47.25,none
191,,48.5,303.6900675,LL4-5_21,21,47.5,none
192,,48.75,303.6900675,LL4-5_22,22,47.75,none
193,,49,309.1875176,LL4-5_23,23,48,none
194,,49.25,309.1875176,LL4-5_24,24,48.25,none
195,,49.5,314.3414568,LL4-5_25,25,48.5,none
196,,49.75,319.1081122,LL4-5_26,26,48.75,none
197,,50,319.1081122,LL4-5_27,27,49,none
198,,50.25,323.4711446,LL4-5_28,28,49.25,none
199,,50.5,323.4711446,LL4-5_29,29,49.5,none
200,,50.75,324.4182824,LL4-5_30,30,49.75,none
201,,51,324.4182824,LL4-5_31,31,50,none
202,,51.25,325.1755108,LL4-5_32,32,50.25,none
203,,51.5,325.1755108,LL4-5_33,33,50.5,none
204,,51.75,325.7945421,LL4-5_34,34,50.75,none
205,,52,325.7945421,LL4-5_35,35,51,none
206,,52.25,325.7945421,LL4-5_36,36,51.25,none
207,,52.5,326.3099325,LL4-5_37,37,51.5,none
208,,52.75,326.3099325,LL4-5_38,38,51.75,none
209,,53,328.3392489,LL4-5_39,39,52,none
210,,53.25,328.3392489,LL4-5_40,40,52.25,none
211,,53.5,328.3392489,LL4-5_41,41,52.5,none
212,,53.75,330.1908858,LL4-5_42,42,52.75,none
213,,54,330.1908858,LL5-6_0,0,53,LL5
214,,54.25,330.1908858,LL5-6_1,1,53.25,none
215,,54.5,331.8837981,LL5-6_2,2,53.5,none
216,,54.75,331.8837981,LL5-6_3,3,53.75,none
